Fecha;Territorio;Medida;Valor;
22/07/2022;Sevilla;Confirmados PDIA;320723;
22/07/2022;Sevilla;Aumento;521;
22/07/2022;Sevilla;Confirmados PDIA 14 días;1888;
22/07/2022;Sevilla;Confirmados PDIA 7 días;650;
22/07/2022;Sevilla;Total confirmados ;321617;
22/07/2022;Sevilla;Hospitalizados;17481;
22/07/2022;Sevilla;Total UCI;1461;
22/07/2022;Sevilla;Fallecidos;3155;
22/07/2022;Sevilla;Curados;311122;
19/07/2022;Andalucía;Confirmados PDIA;1573923;
19/07/2022;Andalucía;Aumento;2647;
19/07/2022;Andalucía;Confirmados PDIA 14 días;16416;
19/07/2022;Andalucía;Confirmados PDIA 7 días;5397;
19/07/2022;Andalucía;Total confirmados ;1579741;
19/07/2022;Andalucía;Hospitalizados;78811;
19/07/2022;Andalucía;Total UCI;7177;
19/07/2022;Andalucía;Fallecidos;14538;
19/07/2022;Andalucía;Curados;1524427;
19/07/2022;Almería;Confirmados PDIA;151916;
19/07/2022;Almería;Aumento;349;
19/07/2022;Almería;Confirmados PDIA 14 días;1941;
19/07/2022;Almería;Confirmados PDIA 7 días;689;
19/07/2022;Almería;Total confirmados ;152242;
19/07/2022;Almería;Hospitalizados;6191;
19/07/2022;Almería;Total UCI;895;
19/07/2022;Almería;Fallecidos;1279;
19/07/2022;Almería;Curados;147817;
19/07/2022;Cádiz;Confirmados PDIA;215354;
19/07/2022;Cádiz;Aumento;193;
19/07/2022;Cádiz;Confirmados PDIA 14 días;1561;
19/07/2022;Cádiz;Confirmados PDIA 7 días;475;
19/07/2022;Cádiz;Total confirmados ;215759;
19/07/2022;Cádiz;Hospitalizados;8238;
19/07/2022;Cádiz;Total UCI;743;
19/07/2022;Cádiz;Fallecidos;1879;
19/07/2022;Cádiz;Curados;210012;
19/07/2022;Córdoba;Confirmados PDIA;163324;
19/07/2022;Córdoba;Aumento;221;
19/07/2022;Córdoba;Confirmados PDIA 14 días;1364;
19/07/2022;Córdoba;Confirmados PDIA 7 días;442;
19/07/2022;Córdoba;Total confirmados ;163862;
19/07/2022;Córdoba;Hospitalizados;7997;
19/07/2022;Córdoba;Total UCI;816;
19/07/2022;Córdoba;Fallecidos;1506;
19/07/2022;Córdoba;Curados;158639;
19/07/2022;Granada;Confirmados PDIA;192224;
19/07/2022;Granada;Aumento;296;
19/07/2022;Granada;Confirmados PDIA 14 días;1838;
19/07/2022;Granada;Confirmados PDIA 7 días;537;
19/07/2022;Granada;Total confirmados ;193070;
19/07/2022;Granada;Hospitalizados;12209;
19/07/2022;Granada;Total UCI;1255;
19/07/2022;Granada;Fallecidos;2220;
19/07/2022;Granada;Curados;185282;
19/07/2022;Huelva;Confirmados PDIA;95011;
19/07/2022;Huelva;Aumento;247;
19/07/2022;Huelva;Confirmados PDIA 14 días;1335;
19/07/2022;Huelva;Confirmados PDIA 7 días;510;
19/07/2022;Huelva;Total confirmados ;95248;
19/07/2022;Huelva;Hospitalizados;4528;
19/07/2022;Huelva;Total UCI;281;
19/07/2022;Huelva;Fallecidos;519;
19/07/2022;Huelva;Curados;89671;
19/07/2022;Jaén;Confirmados PDIA;128817;
19/07/2022;Jaén;Aumento;325;
19/07/2022;Jaén;Confirmados PDIA 14 días;2001;
19/07/2022;Jaén;Confirmados PDIA 7 días;646;
19/07/2022;Jaén;Total confirmados ;129383;
19/07/2022;Jaén;Hospitalizados;7095;
19/07/2022;Jaén;Total UCI;570;
19/07/2022;Jaén;Fallecidos;1464;
19/07/2022;Jaén;Curados;124865;
19/07/2022;Málaga;Confirmados PDIA;307075;
19/07/2022;Málaga;Aumento;646;
19/07/2022;Málaga;Confirmados PDIA 14 días;4190;
19/07/2022;Málaga;Confirmados PDIA 7 días;1353;
19/07/2022;Málaga;Total confirmados ;309080;
19/07/2022;Málaga;Hospitalizados;15120;
19/07/2022;Málaga;Total UCI;1158;
19/07/2022;Málaga;Fallecidos;2524;
19/07/2022;Málaga;Curados;297628;
19/07/2022;Sevilla;Confirmados PDIA;320202;
19/07/2022;Sevilla;Aumento;370;
19/07/2022;Sevilla;Confirmados PDIA 14 días;2186;
19/07/2022;Sevilla;Confirmados PDIA 7 días;745;
19/07/2022;Sevilla;Total confirmados ;321097;
19/07/2022;Sevilla;Hospitalizados;17433;
19/07/2022;Sevilla;Total UCI;1459;
19/07/2022;Sevilla;Fallecidos;3147;
19/07/2022;Sevilla;Curados;310513;
15/07/2022;Andalucía;Confirmados PDIA;1571276;
15/07/2022;Andalucía;Aumento;5117;
15/07/2022;Andalucía;Confirmados PDIA 14 días;20100;
15/07/2022;Andalucía;Confirmados PDIA 7 días;7551;
15/07/2022;Andalucía;Total confirmados ;1577092;
15/07/2022;Andalucía;Hospitalizados;78530;
15/07/2022;Andalucía;Total UCI;7172;
15/07/2022;Andalucía;Fallecidos;14477;
15/07/2022;Andalucía;Curados;1518908;
15/07/2022;Almería;Confirmados PDIA;151567;
15/07/2022;Almería;Aumento;592;
15/07/2022;Almería;Confirmados PDIA 14 días;2227;
15/07/2022;Almería;Confirmados PDIA 7 días;915;
15/07/2022;Almería;Total confirmados ;151893;
15/07/2022;Almería;Hospitalizados;6150;
15/07/2022;Almería;Total UCI;895;
15/07/2022;Almería;Fallecidos;1269;
15/07/2022;Almería;Curados;147289;
15/07/2022;Cádiz;Confirmados PDIA;215161;
15/07/2022;Cádiz;Aumento;531;
15/07/2022;Cádiz;Confirmados PDIA 14 días;2023;
15/07/2022;Cádiz;Confirmados PDIA 7 días;750;
15/07/2022;Cádiz;Total confirmados ;215566;
15/07/2022;Cádiz;Hospitalizados;8230;
15/07/2022;Cádiz;Total UCI;743;
15/07/2022;Cádiz;Fallecidos;1875;
15/07/2022;Cádiz;Curados;209382;
15/07/2022;Córdoba;Confirmados PDIA;163103;
15/07/2022;Córdoba;Aumento;409;
15/07/2022;Córdoba;Confirmados PDIA 14 días;1651;
15/07/2022;Córdoba;Confirmados PDIA 7 días;613;
15/07/2022;Córdoba;Total confirmados ;163641;
15/07/2022;Córdoba;Hospitalizados;7970;
15/07/2022;Córdoba;Total UCI;816;
15/07/2022;Córdoba;Fallecidos;1500;
15/07/2022;Córdoba;Curados;158204;
15/07/2022;Granada;Confirmados PDIA;191928;
15/07/2022;Granada;Aumento;574;
15/07/2022;Granada;Confirmados PDIA 14 días;2515;
15/07/2022;Granada;Confirmados PDIA 7 días;832;
15/07/2022;Granada;Total confirmados ;192773;
15/07/2022;Granada;Hospitalizados;12154;
15/07/2022;Granada;Total UCI;1255;
15/07/2022;Granada;Fallecidos;2213;
15/07/2022;Granada;Curados;184445;
15/07/2022;Huelva;Confirmados PDIA;94764;
15/07/2022;Huelva;Aumento;423;
15/07/2022;Huelva;Confirmados PDIA 14 días;1524;
15/07/2022;Huelva;Confirmados PDIA 7 días;605;
15/07/2022;Huelva;Total confirmados ;95000;
15/07/2022;Huelva;Hospitalizados;4508;
15/07/2022;Huelva;Total UCI;281;
15/07/2022;Huelva;Fallecidos;518;
15/07/2022;Huelva;Curados;89331;
15/07/2022;Jaén;Confirmados PDIA;128492;
15/07/2022;Jaén;Aumento;615;
15/07/2022;Jaén;Confirmados PDIA 14 días;2322;
15/07/2022;Jaén;Confirmados PDIA 7 días;968;
15/07/2022;Jaén;Total confirmados ;129060;
15/07/2022;Jaén;Hospitalizados;7062;
15/07/2022;Jaén;Total UCI;570;
15/07/2022;Jaén;Fallecidos;1451;
15/07/2022;Jaén;Curados;124295;
15/07/2022;Málaga;Confirmados PDIA;306429;
15/07/2022;Málaga;Aumento;1245;
15/07/2022;Málaga;Confirmados PDIA 14 días;5182;
15/07/2022;Málaga;Confirmados PDIA 7 días;1853;
15/07/2022;Málaga;Total confirmados ;308434;
15/07/2022;Málaga;Hospitalizados;15056;
15/07/2022;Málaga;Total UCI;1155;
15/07/2022;Málaga;Fallecidos;2519;
15/07/2022;Málaga;Curados;296122;
15/07/2022;Sevilla;Confirmados PDIA;319832;
15/07/2022;Sevilla;Aumento;728;
15/07/2022;Sevilla;Confirmados PDIA 14 días;2656;
15/07/2022;Sevilla;Confirmados PDIA 7 días;1015;
15/07/2022;Sevilla;Total confirmados ;320725;
15/07/2022;Sevilla;Hospitalizados;17400;
15/07/2022;Sevilla;Total UCI;1457;
15/07/2022;Sevilla;Fallecidos;3132;
15/07/2022;Sevilla;Curados;309840;
12/07/2022;Andalucía;Confirmados PDIA;1566159;
12/07/2022;Andalucía;Aumento;4761;
12/07/2022;Andalucía;Confirmados PDIA 14 días;21592;
12/07/2022;Andalucía;Confirmados PDIA 7 días;8837;
12/07/2022;Andalucía;Total confirmados ;1571970;
12/07/2022;Andalucía;Hospitalizados;78229;
12/07/2022;Andalucía;Total UCI;7167;
12/07/2022;Andalucía;Fallecidos;14415;
12/07/2022;Andalucía;Curados;1512339;
12/07/2022;Almería;Confirmados PDIA;150975;
12/07/2022;Almería;Aumento;582;
12/07/2022;Almería;Confirmados PDIA 14 días;2248;
12/07/2022;Almería;Confirmados PDIA 7 días;1021;
12/07/2022;Almería;Total confirmados ;151301;
12/07/2022;Almería;Hospitalizados;6130;
12/07/2022;Almería;Total UCI;894;
12/07/2022;Almería;Fallecidos;1266;
12/07/2022;Almería;Curados;146679;
12/07/2022;Cádiz;Confirmados PDIA;214630;
12/07/2022;Cádiz;Aumento;442;
12/07/2022;Cádiz;Confirmados PDIA 14 días;2310;
12/07/2022;Cádiz;Confirmados PDIA 7 días;841;
12/07/2022;Cádiz;Total confirmados ;215034;
12/07/2022;Cádiz;Hospitalizados;8226;
12/07/2022;Cádiz;Total UCI;743;
12/07/2022;Cádiz;Fallecidos;1869;
12/07/2022;Cádiz;Curados;208544;
12/07/2022;Córdoba;Confirmados PDIA;162694;
12/07/2022;Córdoba;Aumento;411;
12/07/2022;Córdoba;Confirmados PDIA 14 días;1741;
12/07/2022;Córdoba;Confirmados PDIA 7 días;751;
12/07/2022;Córdoba;Total confirmados ;163232;
12/07/2022;Córdoba;Hospitalizados;7937;
12/07/2022;Córdoba;Total UCI;815;
12/07/2022;Córdoba;Fallecidos;1491;
12/07/2022;Córdoba;Curados;157689;
12/07/2022;Granada;Confirmados PDIA;191354;
12/07/2022;Granada;Aumento;564;
12/07/2022;Granada;Confirmados PDIA 14 días;2940;
12/07/2022;Granada;Confirmados PDIA 7 días;1018;
12/07/2022;Granada;Total confirmados ;192199;
12/07/2022;Granada;Hospitalizados;12106;
12/07/2022;Granada;Total UCI;1254;
12/07/2022;Granada;Fallecidos;2209;
12/07/2022;Granada;Curados;183386;
12/07/2022;Huelva;Confirmados PDIA;94341;
12/07/2022;Huelva;Aumento;321;
12/07/2022;Huelva;Confirmados PDIA 14 días;1542;
12/07/2022;Huelva;Confirmados PDIA 7 días;682;
12/07/2022;Huelva;Total confirmados ;94577;
12/07/2022;Huelva;Hospitalizados;4471;
12/07/2022;Huelva;Total UCI;281;
12/07/2022;Huelva;Fallecidos;516;
12/07/2022;Huelva;Curados;88935;
12/07/2022;Jaén;Confirmados PDIA;127877;
12/07/2022;Jaén;Aumento;628;
12/07/2022;Jaén;Confirmados PDIA 14 días;2378;
12/07/2022;Jaén;Confirmados PDIA 7 días;1087;
12/07/2022;Jaén;Total confirmados ;128443;
12/07/2022;Jaén;Hospitalizados;7033;
12/07/2022;Jaén;Total UCI;569;
12/07/2022;Jaén;Fallecidos;1443;
12/07/2022;Jaén;Curados;123625;
12/07/2022;Málaga;Confirmados PDIA;305184;
12/07/2022;Málaga;Aumento;1189;
12/07/2022;Málaga;Confirmados PDIA 14 días;5707;
12/07/2022;Málaga;Confirmados PDIA 7 días;2327;
12/07/2022;Málaga;Total confirmados ;307188;
12/07/2022;Málaga;Hospitalizados;14971;
12/07/2022;Málaga;Total UCI;1155;
12/07/2022;Málaga;Fallecidos;2511;
12/07/2022;Málaga;Curados;294434;
12/07/2022;Sevilla;Confirmados PDIA;319104;
12/07/2022;Sevilla;Aumento;624;
12/07/2022;Sevilla;Confirmados PDIA 14 días;2726;
12/07/2022;Sevilla;Confirmados PDIA 7 días;1110;
12/07/2022;Sevilla;Total confirmados ;319996;
12/07/2022;Sevilla;Hospitalizados;17355;
12/07/2022;Sevilla;Total UCI;1456;
12/07/2022;Sevilla;Fallecidos;3110;
12/07/2022;Sevilla;Curados;309047;
08/07/2022;Andalucía;Confirmados PDIA;1561398;
08/07/2022;Andalucía;Aumento;7260;
08/07/2022;Andalucía;Confirmados PDIA 14 días;22275;
08/07/2022;Andalucía;Confirmados PDIA 7 días;10370;
08/07/2022;Andalucía;Total confirmados ;1567209;
08/07/2022;Andalucía;Hospitalizados;77893;
08/07/2022;Andalucía;Total UCI;7162;
08/07/2022;Andalucía;Fallecidos;14367;
08/07/2022;Andalucía;Curados;1507883;
08/07/2022;Almería;Confirmados PDIA;150393;
08/07/2022;Almería;Aumento;729;
08/07/2022;Almería;Confirmados PDIA 14 días;2147;
08/07/2022;Almería;Confirmados PDIA 7 días;1064;
08/07/2022;Almería;Total confirmados ;150719;
08/07/2022;Almería;Hospitalizados;6098;
08/07/2022;Almería;Total UCI;894;
08/07/2022;Almería;Fallecidos;1259;
08/07/2022;Almería;Curados;146259;
08/07/2022;Cádiz;Confirmados PDIA;214188;
08/07/2022;Cádiz;Aumento;705;
08/07/2022;Cádiz;Confirmados PDIA 14 días;2432;
08/07/2022;Cádiz;Confirmados PDIA 7 días;1056;
08/07/2022;Cádiz;Total confirmados ;214592;
08/07/2022;Cádiz;Hospitalizados;8213;
08/07/2022;Cádiz;Total UCI;742;
08/07/2022;Cádiz;Fallecidos;1868;
08/07/2022;Cádiz;Curados;208088;
08/07/2022;Córdoba;Confirmados PDIA;162283;
08/07/2022;Córdoba;Aumento;579;
08/07/2022;Córdoba;Confirmados PDIA 14 días;1824;
08/07/2022;Córdoba;Confirmados PDIA 7 días;840;
08/07/2022;Córdoba;Total confirmados ;162820;
08/07/2022;Córdoba;Hospitalizados;7902;
08/07/2022;Córdoba;Total UCI;815;
08/07/2022;Córdoba;Fallecidos;1483;
08/07/2022;Córdoba;Curados;157302;
08/07/2022;Granada;Confirmados PDIA;190790;
08/07/2022;Granada;Aumento;1048;
08/07/2022;Granada;Confirmados PDIA 14 días;3476;
08/07/2022;Granada;Confirmados PDIA 7 días;1410;
08/07/2022;Granada;Total confirmados ;191635;
08/07/2022;Granada;Hospitalizados;12061;
08/07/2022;Granada;Total UCI;1253;
08/07/2022;Granada;Fallecidos;2204;
08/07/2022;Granada;Curados;182426;
08/07/2022;Huelva;Confirmados PDIA;94020;
08/07/2022;Huelva;Aumento;560;
08/07/2022;Huelva;Confirmados PDIA 14 días;1551;
08/07/2022;Huelva;Confirmados PDIA 7 días;797;
08/07/2022;Huelva;Total confirmados ;94256;
08/07/2022;Huelva;Hospitalizados;4450;
08/07/2022;Huelva;Total UCI;281;
08/07/2022;Huelva;Fallecidos;516;
08/07/2022;Huelva;Curados;88687;
08/07/2022;Jaén;Confirmados PDIA;127249;
08/07/2022;Jaén;Aumento;795;
08/07/2022;Jaén;Confirmados PDIA 14 días;2333;
08/07/2022;Jaén;Confirmados PDIA 7 días;1096;
08/07/2022;Jaén;Total confirmados ;127815;
08/07/2022;Jaén;Hospitalizados;6994;
08/07/2022;Jaén;Total UCI;569;
08/07/2022;Jaén;Fallecidos;1437;
08/07/2022;Jaén;Curados;123140;
08/07/2022;Málaga;Confirmados PDIA;303995;
08/07/2022;Málaga;Aumento;1908;
08/07/2022;Málaga;Confirmados PDIA 14 días;5777;
08/07/2022;Málaga;Confirmados PDIA 7 días;2788;
08/07/2022;Málaga;Total confirmados ;305999;
08/07/2022;Málaga;Hospitalizados;14868;
08/07/2022;Málaga;Total UCI;1155;
08/07/2022;Málaga;Fallecidos;2506;
08/07/2022;Málaga;Curados;293426;
08/07/2022;Sevilla;Confirmados PDIA;318480;
08/07/2022;Sevilla;Aumento;936;
08/07/2022;Sevilla;Confirmados PDIA 14 días;2735;
08/07/2022;Sevilla;Confirmados PDIA 7 días;1319;
08/07/2022;Sevilla;Total confirmados ;319373;
08/07/2022;Sevilla;Hospitalizados;17307;
08/07/2022;Sevilla;Total UCI;1453;
08/07/2022;Sevilla;Fallecidos;3094;
08/07/2022;Sevilla;Curados;308555;
05/07/2022;Andalucía;Confirmados PDIA;1554138;
05/07/2022;Andalucía;Aumento;5582;
05/07/2022;Andalucía;Confirmados PDIA 14 días;19939;
05/07/2022;Andalucía;Confirmados PDIA 7 días;9729;
05/07/2022;Andalucía;Total confirmados ;1559947;
05/07/2022;Andalucía;Hospitalizados;77494;
05/07/2022;Andalucía;Total UCI;7150;
05/07/2022;Andalucía;Fallecidos;14321;
05/07/2022;Andalucía;Curados;1502994;
05/07/2022;Almería;Confirmados PDIA;149664;
05/07/2022;Almería;Aumento;581;
05/07/2022;Almería;Confirmados PDIA 14 días;1903;
05/07/2022;Almería;Confirmados PDIA 7 días;945;
05/07/2022;Almería;Total confirmados ;149990;
05/07/2022;Almería;Hospitalizados;6074;
05/07/2022;Almería;Total UCI;894;
05/07/2022;Almería;Fallecidos;1255;
05/07/2022;Almería;Curados;145809;
05/07/2022;Cádiz;Confirmados PDIA;213483;
05/07/2022;Cádiz;Aumento;620;
05/07/2022;Cádiz;Confirmados PDIA 14 días;2211;
05/07/2022;Cádiz;Confirmados PDIA 7 días;1172;
05/07/2022;Cádiz;Total confirmados ;213886;
05/07/2022;Cádiz;Hospitalizados;8206;
05/07/2022;Cádiz;Total UCI;742;
05/07/2022;Cádiz;Fallecidos;1865;
05/07/2022;Cádiz;Curados;207569;
05/07/2022;Córdoba;Confirmados PDIA;161704;
05/07/2022;Córdoba;Aumento;446;
05/07/2022;Córdoba;Confirmados PDIA 14 días;1673;
05/07/2022;Córdoba;Confirmados PDIA 7 días;759;
05/07/2022;Córdoba;Total confirmados ;162241;
05/07/2022;Córdoba;Hospitalizados;7865;
05/07/2022;Córdoba;Total UCI;810;
05/07/2022;Córdoba;Fallecidos;1475;
05/07/2022;Córdoba;Curados;156868;
05/07/2022;Granada;Confirmados PDIA;189742;
05/07/2022;Granada;Aumento;851;
05/07/2022;Granada;Confirmados PDIA 14 días;3352;
05/07/2022;Granada;Confirmados PDIA 7 días;1396;
05/07/2022;Granada;Total confirmados ;190587;
05/07/2022;Granada;Hospitalizados;11986;
05/07/2022;Granada;Total UCI;1249;
05/07/2022;Granada;Fallecidos;2197;
05/07/2022;Granada;Curados;181552;
05/07/2022;Huelva;Confirmados PDIA;93460;
05/07/2022;Huelva;Aumento;351;
05/07/2022;Huelva;Confirmados PDIA 14 días;1286;
05/07/2022;Huelva;Confirmados PDIA 7 días;665;
05/07/2022;Huelva;Total confirmados ;93696;
05/07/2022;Huelva;Hospitalizados;4406;
05/07/2022;Huelva;Total UCI;280;
05/07/2022;Huelva;Fallecidos;515;
05/07/2022;Huelva;Curados;88378;
05/07/2022;Jaén;Confirmados PDIA;126454;
05/07/2022;Jaén;Aumento;575;
05/07/2022;Jaén;Confirmados PDIA 14 días;2036;
05/07/2022;Jaén;Confirmados PDIA 7 días;967;
05/07/2022;Jaén;Total confirmados ;127020;
05/07/2022;Jaén;Hospitalizados;6934;
05/07/2022;Jaén;Total UCI;569;
05/07/2022;Jaén;Fallecidos;1430;
05/07/2022;Jaén;Curados;122662;
05/07/2022;Málaga;Confirmados PDIA;302087;
05/07/2022;Málaga;Aumento;1499;
05/07/2022;Málaga;Confirmados PDIA 14 días;5086;
05/07/2022;Málaga;Confirmados PDIA 7 días;2644;
05/07/2022;Málaga;Total confirmados ;304091;
05/07/2022;Málaga;Hospitalizados;14780;
05/07/2022;Málaga;Total UCI;1155;
05/07/2022;Málaga;Fallecidos;2498;
05/07/2022;Málaga;Curados;292180;
05/07/2022;Sevilla;Confirmados PDIA;317544;
05/07/2022;Sevilla;Aumento;659;
05/07/2022;Sevilla;Confirmados PDIA 14 días;2392;
05/07/2022;Sevilla;Confirmados PDIA 7 días;1181;
05/07/2022;Sevilla;Total confirmados ;318436;
05/07/2022;Sevilla;Hospitalizados;17243;
05/07/2022;Sevilla;Total UCI;1451;
05/07/2022;Sevilla;Fallecidos;3086;
05/07/2022;Sevilla;Curados;307976;
01/07/2022;Andalucía;Confirmados PDIA;1548556;
01/07/2022;Andalucía;Aumento;6988;
01/07/2022;Andalucía;Confirmados PDIA 14 días;18314;
01/07/2022;Andalucía;Confirmados PDIA 7 días;9527;
01/07/2022;Andalucía;Total confirmados ;1554367;
01/07/2022;Andalucía;Hospitalizados;77150;
01/07/2022;Andalucía;Total UCI;7142;
01/07/2022;Andalucía;Fallecidos;14291;
01/07/2022;Andalucía;Curados;1499934;
01/07/2022;Almería;Confirmados PDIA;149083;
01/07/2022;Almería;Aumento;610;
01/07/2022;Almería;Confirmados PDIA 14 días;1637;
01/07/2022;Almería;Confirmados PDIA 7 días;851;
01/07/2022;Almería;Total confirmados ;149409;
01/07/2022;Almería;Hospitalizados;6054;
01/07/2022;Almería;Total UCI;893;
01/07/2022;Almería;Fallecidos;1248;
01/07/2022;Almería;Curados;145565;
01/07/2022;Cádiz;Confirmados PDIA;212863;
01/07/2022;Cádiz;Aumento;889;
01/07/2022;Cádiz;Confirmados PDIA 14 días;2045;
01/07/2022;Cádiz;Confirmados PDIA 7 días;1110;
01/07/2022;Cádiz;Total confirmados ;213266;
01/07/2022;Cádiz;Hospitalizados;8189;
01/07/2022;Cádiz;Total UCI;742;
01/07/2022;Cádiz;Fallecidos;1863;
01/07/2022;Cádiz;Curados;207202;
01/07/2022;Córdoba;Confirmados PDIA;161258;
01/07/2022;Córdoba;Aumento;559;
01/07/2022;Córdoba;Confirmados PDIA 14 días;1576;
01/07/2022;Córdoba;Confirmados PDIA 7 días;801;
01/07/2022;Córdoba;Total confirmados ;161795;
01/07/2022;Córdoba;Hospitalizados;7825;
01/07/2022;Córdoba;Total UCI;808;
01/07/2022;Córdoba;Fallecidos;1472;
01/07/2022;Córdoba;Curados;156555;
01/07/2022;Granada;Confirmados PDIA;188891;
01/07/2022;Granada;Aumento;1166;
01/07/2022;Granada;Confirmados PDIA 14 días;3189;
01/07/2022;Granada;Confirmados PDIA 7 días;1622;
01/07/2022;Granada;Total confirmados ;189739;
01/07/2022;Granada;Hospitalizados;11924;
01/07/2022;Granada;Total UCI;1248;
01/07/2022;Granada;Fallecidos;2194;
01/07/2022;Granada;Curados;181102;
01/07/2022;Huelva;Confirmados PDIA;93109;
01/07/2022;Huelva;Aumento;438;
01/07/2022;Huelva;Confirmados PDIA 14 días;1225;
01/07/2022;Huelva;Confirmados PDIA 7 días;643;
01/07/2022;Huelva;Total confirmados ;93344;
01/07/2022;Huelva;Hospitalizados;4384;
01/07/2022;Huelva;Total UCI;280;
01/07/2022;Huelva;Fallecidos;514;
01/07/2022;Huelva;Curados;88201;
01/07/2022;Jaén;Confirmados PDIA;125879;
01/07/2022;Jaén;Aumento;692;
01/07/2022;Jaén;Confirmados PDIA 14 días;1857;
01/07/2022;Jaén;Confirmados PDIA 7 días;972;
01/07/2022;Jaén;Total confirmados ;126445;
01/07/2022;Jaén;Hospitalizados;6917;
01/07/2022;Jaén;Total UCI;568;
01/07/2022;Jaén;Fallecidos;1428;
01/07/2022;Jaén;Curados;122331;
01/07/2022;Málaga;Confirmados PDIA;300588;
01/07/2022;Málaga;Aumento;1730;
01/07/2022;Málaga;Confirmados PDIA 14 días;4553;
01/07/2022;Málaga;Confirmados PDIA 7 días;2381;
01/07/2022;Málaga;Total confirmados ;302592;
01/07/2022;Málaga;Hospitalizados;14676;
01/07/2022;Málaga;Total UCI;1154;
01/07/2022;Málaga;Fallecidos;2492;
01/07/2022;Málaga;Curados;291360;
01/07/2022;Sevilla;Confirmados PDIA;316885;
01/07/2022;Sevilla;Aumento;904;
01/07/2022;Sevilla;Confirmados PDIA 14 días;2232;
01/07/2022;Sevilla;Confirmados PDIA 7 días;1147;
01/07/2022;Sevilla;Total confirmados ;317777;
01/07/2022;Sevilla;Hospitalizados;17181;
01/07/2022;Sevilla;Total UCI;1449;
01/07/2022;Sevilla;Fallecidos;3080;
01/07/2022;Sevilla;Curados;307618;
28/06/2022;Andalucía;Confirmados PDIA;1541568;
28/06/2022;Andalucía;Aumento;4515;
