"date","province","ccaa","pruebas_pcr_realizadas","new_cases","PCR","TestAc","activos","hospitalized","hospitalized_accumulated","hospitalized_new","intensive_care","deceased","cases_accumulated","cases_accumulated_PCR","recovered","source_name","source","comments"
"2020-03-06","Araba/Álava","País Vasco","","17","","","","","","","","","39","","","Gobierno de Euskadi","https://www.euskadi.eus/contenidos/informacion/boletin_coronavirus/es_def/adjuntos/3_abril_Boletin.pdf",""
"2020-03-07","Araba/Álava","País Vasco","","29","","","","","","","","","68","","","Gobierno de Euskadi","https://www.euskadi.eus/contenidos/informacion/boletin_coronavirus/es_def/adjuntos/3_abril_Boletin.pdf",""
"2020-03-08","Araba/Álava","País Vasco","","30","","","","","","","","","98","","","Gobierno de Euskadi","https://www.euskadi.eus/contenidos/informacion/boletin_coronavirus/es_def/adjuntos/3_abril_Boletin.pdf",""
"2020-03-09","Araba/Álava","País Vasco","","30","","","","","","","","","128","","","Gobierno de Euskadi","https://www.euskadi.eus/contenidos/informacion/boletin_coronavirus/es_def/adjuntos/3_abril_Boletin.pdf",""
"2020-03-10","Araba/Álava","País Vasco","","42","","","","","","","","","170","","","Gobierno de Euskadi","https://www.euskadi.eus/contenidos/informacion/boletin_coronavirus/es_def/adjuntos/3_abril_Boletin.pdf",""
"2020-03-11","Araba/Álava","País Vasco","","77","","","","","","","","","247","","","Gobierno de Euskadi","https://www.euskadi.eus/contenidos/informacion/boletin_coronavirus/es_def/adjuntos/3_abril_Boletin.pdf",""
"2020-03-12","Araba/Álava","País Vasco","","48","","","","131","","","","","295","","","Gobierno de Euskadi","https://www.euskadi.eus/contenidos/informacion/boletin_coronavirus/es_def/adjuntos/3_abril_Boletin.pdf",""
"2020-03-13","Araba/Álava","País Vasco","","51","","","","153","","","","9","310","","","Osakidetza","https://twitter.com/osakidetzaEJGV/status/1238419189603414020",""
"2020-03-14","Araba/Álava","País Vasco","","50","","","","172","","","","13","360","","","Osakidetza","https://twitter.com/osakidetzaEJGV/status/1238787965167579136",""
"2020-03-15","Araba/Álava","País Vasco","","49","","","","191","","","","16","409","","","Osakidetza","https://twitter.com/osakidetzaEJGV/status/1239171785112903680","Deceassed is marked as ""16 (+3)"". It could be 3 more deaths since yesterday"
"2020-03-16","Araba/Álava","País Vasco","","35","","","","234","","","","25","444","","","Osakidetza","https://twitter.com/osakidetzaEJGV/status/1239534582887788547",""
"2020-03-17","Araba/Álava","País Vasco","","30","","","","196","","","","25","474","","","Osakidetza","https://twitter.com/osakidetzaEJGV/status/1239901037005352960",""
"2020-03-18","Araba/Álava","País Vasco","","71","","","","224","","","","27","545","","","Osakidetza","https://twitter.com/osakidetzaEJGV/status/1240248137287118848",""
"2020-03-19","Araba/Álava","País Vasco","","76","","","583","","","","","35","621","","18","Osakidetza","https://twitter.com/osakidetzaEJGV/status/1240614202538164224;Flourish de RTVE: https://public.flourish.studio/visualisation/1451263",""
"2020-03-20","Araba/Álava","País Vasco","","","","","655","","","","","48","703","","","RTVE","Flourish de RTVE: https://public.flourish.studio/visualisation/1451263","¹El Gobierno Vasco no especifica el lugar de las altas."
"2020-03-21","Araba/Álava","País Vasco","","","","","746","","","","","55","801","","","RTVE","Flourish de RTVE: https://public.flourish.studio/visualisation/1451263","¹El Gobierno Vasco no especifica el lugar de las altas."
"2020-03-22","Araba/Álava","País Vasco","","","","","852","","","","","60","912","","","RTVE","Flourish de RTVE: https://public.flourish.studio/visualisation/1451263 Actualización: 19h.","¹El Gobierno Vasco no especifica el lugar de las altas."
"2020-03-23","Araba/Álava","País Vasco","","","","","939","310","","","","70","1009","","","RTVE","Flourish de RTVE: https://public.flourish.studio/visualisation/1451263 Actualización: 21h.","¹El Gobierno Vasco no especifica el lugar de las altas."
"2020-03-24","Araba/Álava","País Vasco","","121","","","1013","325","","","","81","1207","","","RTVE","Descargado 2020.03.25 00.35h https://public.flourish.studio/visualisation/1451263/ y https://twitter.com/osakidetzaEJGV/status/1242790673679613952/photo/1",""
"2020-03-25","Araba/Álava","País Vasco","","228","","","1126","343","","","","94","1435","","","Osakidetza","https://twitter.com/osakidetzaEJGV/status/1243148965337587717/photo/1; Flourish de RTVE: https://public.flourish.studio/visualisation/1451263 Actualización: 22:30h.",""
"2020-03-26","Araba/Álava","País Vasco","","175","","","1101","345","","","","103","1610","","","Osakidetza;RTVE","Flourish de RTVE: https://public.flourish.studio/visualisation/1451263/; https://twitter.com/osakidetzaEJGV/status/1243508342770872321","¹El Gobierno Vasco no especifica el lugar de las altas, por lo que el total de casos es aproximado."
"2020-03-27","Araba/Álava","País Vasco","","169","","","1207","353","","","","109","1779","","","Osakidetza","https://twitter.com/osakidetzaEJGV/status/1243874522333356032/photo/1",""
"2020-03-28","Araba/Álava","País Vasco","","168","","","1250","376","","","","115","1947","","","Osakidetza","https://twitter.com/osakidetzaEJGV/status/1244215315900358657;https://public.flourish.studio/visualisation/1451263/",""
"2020-03-29","Araba/Álava","País Vasco","","102","","","1947","379","","","","123","2049","","","Osakidetza","https://twitter.com/osakidetzaEJGV/status/1244578608900956164;Flourish de RTVE: https://public.flourish.studio/visualisation/1451263/; https://twitter.com/osakidetzaEJGV/status/1243508342770872321",""
"2020-03-30","Araba/Álava","País Vasco","","56","","","1376","369","","","","133","2105","","","Osakidetza","https://twitter.com/osakidetzaEJGV/status/1244937437123448833;https://public.flourish.studio/visualisation/1451263/ 2020.03.31 02.07h",""
"2020-03-31","Araba/Álava","País Vasco","","145","","","1372","341","","","","149","2250","","","Osakidetza","https://twitter.com/osakidetzaEJGV/status/1245303709992660993;https://public.flourish.studio/visualisation/1451263/",""
"2020-04-01","Araba/Álava","País Vasco","","97","","","1376","313","","","","167","2347","","","Osakidetza","https://twitter.com/osakidetzaEJGV/status/1245677960218267648;https://public.flourish.studio/visualisation/1451263/",""
"2020-04-02","Araba/Álava","País Vasco","","100","","","","319","","","","176","2447","","","Osakidetza","https://twitter.com/osakidetzaEJGV/status/1246037047841828866;https://www.euskadi.eus/contenidos/informacion/boletin_coronavirus/es_def/adjuntos/2_abril_Boletin.pdf",""
"2020-04-03","Araba/Álava","País Vasco","","92","","","","288","","","","184","2539","","","Osakidetza","https://twitter.com/osakidetzaEJGV/status/1246389273953095681;https://app.flourish.studio/visualisation/1451263/ (22:55);https://www.euskadi.eus/contenidos/informacion/boletin_coronavirus/es_def/adjuntos/3_abril_Boletin.pdf",""
"2020-04-04","Araba/Álava","País Vasco","","100","","","","277","","","","194","2639","","","Osakidetza","https://twitter.com/osakidetzaEJGV/status/1246750350805172225;https://app.flourish.studio/visualisation/1451263/ (4-abr 23:20)",""
"2020-04-05","Araba/Álava","País Vasco","","36","","","","271","","","","201","2675","","","Osakidetza","https://twitter.com/osakidetzaEJGV/status/1247113889973665793;https://www.euskadi.eus/contenidos/informacion/boletin_coronavirus/es_def/adjuntos/5_abril_Boletin.pdf",""
"2020-04-06","Araba/Álava","País Vasco","","69","","","","237","","","","212","2744","","","Osakidetza","https://twitter.com/osakidetzaEJGV/status/1247477653780692998;https://www.euskadi.eus/contenidos/informacion/boletin_coronavirus/es_def/adjuntos/6_abril_Boletin.pdf",""
"2020-04-07","Araba/Álava","País Vasco","","62","","","","219","","","","229","2806","","","Osakidetza","https://twitter.com/osakidetzaEJGV/status/1247844743280766978;https://www.euskadi.eus/contenidos/informacion/boletin_coronavirus/es_def/adjuntos/7_abril_Boletin.pdf",""
"2020-04-08","Araba/Álava","País Vasco","","62","","","","214","","","","237","2868","","","Osakidetza","https://twitter.com/osakidetzaEJGV/status/1248200163258179584;https://www.euskadi.eus/contenidos/informacion/boletin_coronavirus/es_def/adjuntos/8_abril_Boletin.pdf",""
"2020-04-09","Araba/Álava","País Vasco","","40","","","","219","","","","245","2908","","","Osakidetza","https://twitter.com/osakidetzaEJGV/status/1248566574996430849;https://www.euskadi.eus/contenidos/informacion/boletin_coronavirus/es_def/adjuntos/9_abril_Boletin.pdf",""
"2020-04-10","Araba/Álava","País Vasco","","82","","","","211","","","","254","2990","","","Osakidetza","https://twitter.com/osakidetzaEJGV/status/1248933427799351297;https://www.euskadi.eus/contenidos/informacion/boletin_coronavirus/es_def/adjuntos/10_abril_Boletin.pdf",""
"2020-04-11","Araba/Álava","País Vasco","","19","","","","212","","","","260","3019","","","Osakidetza","https://twitter.com/osakidetzaEJGV/status/1249293553374654466/;https://www.euskadi.eus/contenidos/informacion/boletin_coronavirus/es_def/adjuntos/11_abril_Boletin.pdf",""
"2020-04-12","Araba/Álava","País Vasco","","15","","","","214","","","","266","3034","","","Osakidetza","https://twitter.com/osakidetzaEJGV/status/1249653648612823042;https://www.euskadi.eus/contenidos/informacion/boletin_coronavirus/es_def/adjuntos/12_abril_Boletin.pdf",""
"2020-04-13","Araba/Álava","País Vasco","","21","","","","207","","","","273","3055","","","Osakidetza","https://twitter.com/osakidetzaEJGV/status/1250013741200150528/;https://www.euskadi.eus/contenidos/informacion/boletin_coronavirus/es_def/adjuntos/13_abril_Boletin.pdf",""
"2020-04-14","Araba/Álava","País Vasco","","20","","","","193","","","","274","3075","","","Osakidetza","https://twitter.com/osakidetzaEJGV/status/1250390847725723648;https://www.euskadi.eus/contenidos/informacion/boletin_coronavirus/es_def/adjuntos/14_abril_Boletin.pdf",""
"2020-04-15","Araba/Álava","País Vasco","","43","","","","187","","","","290","3118","","","Osakidetza","https://twitter.com/osakidetzaEJGV/status/1250749117975998465;https://www.euskadi.eus/contenidos/informacion/boletin_coronavirus/es_def/adjuntos/15_abril_Boletin.pdf",""
"2020-04-16","Araba/Álava","País Vasco","","38","","","","174","","","","304","3156","","","Osakidetza","https://twitter.com/osakidetzaEJGV/status/1251113547771392000",""
"2020-04-17","Araba/Álava","País Vasco","","38","","","","166","","","","308","3194","","","Osakidetza","https://twitter.com/osakidetzaEJGV/status/1251462731229810688;https://www.euskadi.eus/contenidos/informacion/boletin_coronavirus/es_def/adjuntos/17_abril_Boletin.pdf",""
"2020-04-18","Araba/Álava","País Vasco","","37","","","","162","","","","315","3231","","","Osakidetza","https://twitter.com/osakidetzaEJGV/status/1251829196499881984;https://www.euskadi.eus/contenidos/informacion/boletin_coronavirus/es_def/adjuntos/18_abril_Boletin.pdf",""
"2020-04-19","Araba/Álava","País Vasco","","10","","","","159","","","","318","3241","","","Osakidetza","https://twitter.com/osakidetzaEJGV/status/1252193927425335296;https://www.euskadi.eus/contenidos/informacion/boletin_coronavirus/es_def/adjuntos/19_abril_Boletin.pdf",""
"2020-04-20","Araba/Álava","País Vasco","","53","","","","150","","","","323","3294","","","Osakidetza","https://twitter.com/osakidetzaEJGV/status/1252552331109023744;https://www.euskadi.eus/contenidos/informacion/boletin_coronavirus/es_def/adjuntos/20_abril_Boletin.pdf",""
"2020-04-21","Araba/Álava","País Vasco","","30","","","","143","","","","325","3324","","","Osakidetza","https://twitter.com/osakidetzaEJGV/status/1252924859069456385;https://www.euskadi.eus/contenidos/informacion/boletin_coronavirus/es_def/adjuntos/21_abril_Boletin.pdf",""
"2020-04-22","Araba/Álava","País Vasco","","44","","","","143","","","","327","3368","","","Osakidetza","https://twitter.com/osakidetzaEJGV/status/1253273331534528514;https://www.euskadi.eus/contenidos/informacion/boletin_coronavirus/es_def/adjuntos/22_abril_Boletin.pdf",""
"2020-04-23","Araba/Álava","País Vasco","","85","","","","146","","","","331","3453","","","Osakidetza","https://twitter.com/osakidetzaEJGV/status/1253634641539579906;https://www.euskadi.eus/contenidos/informacion/boletin_coronavirus/es_def/adjuntos/23_abril_Boletin.pdf",""
"2020-04-24","Araba/Álava","País Vasco","","98","","","","141","","","","332","3551","","","Osakidetza","https://twitter.com/osakidetzaEJGV/status/1254026157789454339;https://www.euskadi.eus/contenidos/informacion/boletin_coronavirus/es_def/adjuntos/24_abril_Boletin.pdf",""
"2020-04-25","Araba/Álava","País Vasco","","39","","","","140","","","","336","3590","","","Osakidetza","https://twitter.com/osakidetzaEJGV/status/1254366709152133121;https://www.euskadi.eus/contenidos/informacion/boletin_coronavirus/es_def/adjuntos/25_abril_Boletin.pdf",""
"2020-04-26","Araba/Álava","País Vasco","","34","","","","142","","","","338","3624","","","Osakidetza","https://twitter.com/osakidetzaEJGV/status/1254727395338268674;https://www.euskadi.eus/contenidos/informacion/boletin_coronavirus/es_def/adjuntos/26_abril_Boletin.pdf",""
"2020-04-27","Araba/Álava","País Vasco","","140","","","","137","","","","340","3764","","","Osakidetza","https://twitter.com/osakidetzaEJGV/status/1255088039111593985;https://www.euskadi.eus/contenidos/informacion/boletin_coronavirus/es_def/adjuntos/27_abril_Boletin.pdf",""
"2020-04-28","Araba/Álava","País Vasco","","","","","","143","","","","342","3864","","","Irekia","https://www.irekia.euskadi.eus/es/news/61544-actualizacion-datos-covid-euskadi",""
"2020-04-29","Araba/Álava","País Vasco","","","","","","144","","","","342","3962","","","Irekia","https://www.irekia.euskadi.eus/es/news/61560-actualizacion-datos-covid-euskadi",""
"2020-04-30","Araba/Álava","País Vasco","","","","","","131","","","","343","4125","","","Irekia","https://www.irekia.euskadi.eus/es/news/61576-euskadi-utilizara-programa-oms-para-estudio-rapidos-casos-sus-contactos;https://www.euskadi.eus/contenidos/informacion/boletin_coronavirus/es_def/adjuntos/30_abril_Boletin.pdf",""
"2020-05-01","Araba/Álava","País Vasco","","","","","","136","","","","343","4167","","","Irekia","https://www.irekia.euskadi.eus/es/news/61571-osakidetza-comenzara-manera-paulatina-vuelta-actividad-asistencial",""
"2020-05-02","Araba/Álava","País Vasco","","","","","","138","","","","344","4188","","","Irekia","https://www.irekia.euskadi.eus/es/news/61582-actualizacion-datos-covid-euskadi",""
"2020-05-03","Araba/Álava","País Vasco","","","","","","144","","","","345","4217","","","Irekia","https://www.irekia.euskadi.eus/es/news/61589-actualizacion-datos-covid-euskadi",""
"2020-05-04","Araba/Álava","País Vasco","","","","","","144","","","","346","4288","","","Irekia","https://www.irekia.euskadi.eus/es/news/61616-actualizacion-datos-covid-euskadi",""
"2020-05-05","Araba/Álava","País Vasco","","","","","","108","","","","348","4297","","","Irekia","https://www.irekia.euskadi.eus/es/news/61632-actualizacion-datos-covid-euskadi",""
"2020-05-06","Araba/Álava","País Vasco","","","","","","102","","","","349","4480","","","Irekia","https://www.irekia.euskadi.eus/es/news/61645-actualizacion-datos-covid-euskadi",""
"2020-05-07","Araba/Álava","País Vasco","","","6","","","104","","","","349","4521","","","Irekia","https://www.irekia.euskadi.eus/es/news/61661-actualizacion-datos-covid-euskadi",""
"2020-05-08","Araba/Álava","País Vasco","","","10","","","92","","","","349","4604","","","Irekia","https://www.irekia.euskadi.eus/es/news/61667-gobierno-vasco-explica-las-medidas-que-adoptara-euskadi-partir-del-lunes-fase-desescalada",""
"2020-05-09","Araba/Álava","País Vasco","","","8","","","89","","","","351","4649","","","Irekia","https://www.irekia.euskadi.eus/es/news/61675-actualizacion-datos-covid-euskadi-mayo",""
"2020-05-10","Araba/Álava","País Vasco","","","1","","","87","","","","353","4666","","","Irekia","https://www.irekia.euskadi.eus/es/news/61683-actualizacion-datos-covid-euskadi",""
"2020-05-11","Araba/Álava","País Vasco","","","3","","","85","","","","354","4710","","","Irekia","https://www.irekia.euskadi.eus/es/news/61711-actualizacion-datos-covid-euskadi",""
"2020-05-12","Araba/Álava","País Vasco","","","4","","","106","","","","355","4766","","","Irekia","https://www.irekia.euskadi.eus/es/news/61723-actualizacion-datos-covid-euskadi",""
"2020-05-13","Araba/Álava","País Vasco","","","5","","","","","","","356","4868","","","Irekia","https://www.irekia.euskadi.eus/es/news/61749-actualizacion-datos-covid-euskadi",""
"2020-05-14","Araba/Álava","País Vasco","","","9","","","","","","","","","","","Irekia","https://www.irekia.euskadi.eus/es/news/61734-departamento-salud-pone-marcha-plan-vigilancia-control-para-fase-desescalada-que-contempla-una-prueba-pcr-todas-las-personas-con-sintomas-compatibles-con-covid",""
"2020-05-15","Araba/Álava","País Vasco","","","1","","","","","","","","","2962","","Irekia;Open Data Euskadi","https://www.irekia.euskadi.eus/es/news/61774-partir-del-lunes-ciudadania-podra-moverse-por-territorio-historico-que-tenga-fijada-residencia;https://opendata.euskadi.eus/contenidos/ds_informes_estudios/covid_19_2020/opendata/situacion-epidemiologica.xlsx",""
"2020-05-16","Araba/Álava","País Vasco","","","7","","","","","","","","","2963","","Irekia;Open Data Euskadi","https://www.irekia.euskadi.eus/es/news/61777-actualizacion-datos-covid-euskadi-mayo;https://opendata.euskadi.eus/contenidos/ds_informes_estudios/covid_19_2020/opendata/situacion-epidemiologica.xlsx",""
"2020-05-17","Araba/Álava","País Vasco","","","2","","","","","","","","","2970","","Irekia;Open Data Euskadi","https://www.irekia.euskadi.eus/es/news/61794-actualizacion-datos-covid-euskadi;https://opendata.euskadi.eus/contenidos/ds_informes_estudios/covid_19_2020/opendata/situacion-epidemiologica.xlsx",""
"2020-05-18","Araba/Álava","País Vasco","","","3","","","","","","","","","2975","","Gobierno de Euskadi;Open Data Euskadi","https://www.euskadi.eus/contenidos/informacion/boletin_coronavirus/es_def/adjuntos/20_mayo_Boletin.pdf;https://opendata.euskadi.eus/contenidos/ds_informes_estudios/covid_19_2020/opendata/situacion-epidemiologica.xlsx",""
"2020-05-19","Araba/Álava","País Vasco","","","13","","","","","","","","","2988","","Irekia;Open Data Euskadi","https://www.irekia.euskadi.eus/es/news/61813-actualizacion-datos-covid-euskadi;https://opendata.euskadi.eus/contenidos/ds_informes_estudios/covid_19_2020/opendata/situacion-epidemiologica.xlsx",""
"2020-05-20","Araba/Álava","País Vasco","","","2","","","","","","","","","2990","","Irekia;Open Data Euskadi","https://www.irekia.euskadi.eus/es/news/61843-departamento-salud-osakidetza-han-hecho-mas-136-000-pruebas-deteccion-covid-colectivos-especificos;https://opendata.euskadi.eus/contenidos/ds_informes_estudios/covid_19_2020/opendata/situacion-epidemiologica.xlsx",""
"2020-05-21","Araba/Álava","País Vasco","","","4","","","","","","","","","2994","","Irekia;Open Data Euskadi","https://www.irekia.euskadi.eus/es/news/61853-actualizacion-datos-covid-euskadi;https://opendata.euskadi.eus/contenidos/ds_informes_estudios/covid_19_2020/opendata/situacion-epidemiologica.xlsx",""
"2020-05-22","Araba/Álava","País Vasco","","","4","","","","","","","","","2998","","Irekia;Open Data Euskadi","https://www.irekia.euskadi.eus/es/news/61851-euskadi-entrara-lunes-fase-dos-con-mayor-movilidad-por-territorio-historico;https://opendata.euskadi.eus/contenidos/ds_informes_estudios/covid_19_2020/opendata/situacion-epidemiologica.xlsx",""
"2020-05-23","Araba/Álava","País Vasco","","","2","","","","","","","","","3000","","Irekia;Open Data Euskadi","https://www.irekia.euskadi.eus/es/news/61871-actualizacion-datos-covid-euskadi-mayo;https://opendata.euskadi.eus/contenidos/ds_informes_estudios/covid_19_2020/opendata/situacion-epidemiologica.xlsx",""
"2020-05-24","Araba/Álava","País Vasco","","","0","","","","","","","","","3000","","Irekia;Open Data Euskadi","https://www.irekia.euskadi.eus/es/news/61880-actualizacion-datos-covid-euskadi;https://opendata.euskadi.eus/contenidos/ds_informes_estudios/covid_19_2020/opendata/situacion-epidemiologica.xlsx",""
"2020-05-25","Araba/Álava","País Vasco","","","0","","","","","","","","","3000","","Irekia;Open Data Euskadi","https://www.irekia.euskadi.eus/es/news/61899-actualizacion-datos-covid-euskadi;https://opendata.euskadi.eus/contenidos/ds_informes_estudios/covid_19_2020/opendata/situacion-epidemiologica.xlsx",""
"2020-05-26","Araba/Álava","País Vasco","","","2","","","","","","","","","3002","","Irekia;Open Data Euskadi","https://www.irekia.euskadi.eus/es/news/61914-actualizacion-datos-covid-euskadi;https://opendata.euskadi.eus/contenidos/ds_informes_estudios/covid_19_2020/opendata/situacion-epidemiologica.xlsx",""
"2020-05-27","Araba/Álava","País Vasco","","","0","","","","","","","","","3002","","Irekia;Open Data Euskadi","https://www.irekia.euskadi.eus/es/news/61906-dia-mundial-sin-tabaco-actualizacion-datos-del-coronavirus-euskadi;https://opendata.euskadi.eus/contenidos/ds_informes_estudios/covid_19_2020/opendata/situacion-epidemiologica.xlsx",""
"2020-05-28","Araba/Álava","País Vasco","","","1","","","","","","","","","3003","","Irekia;Open Data Euskadi","https://www.irekia.euskadi.eus/es/news/61954-departamento-salud-insta-que-cumplan-los-criterios-recomenadaciones-para-uso-playas-pantanos-las-que-anade-uso-dinamico;https://opendata.euskadi.eus/contenidos/ds_informes_estudios/covid_19_2020/opendata/situacion-epidemiologica.xlsx",""
"2020-05-29","Araba/Álava","País Vasco","","","1","","","","","","","","","3004","","Irekia;Open Data Euskadi","https://www.irekia.euskadi.eus/es/news/61961-osakidetza-recupera-practicamente-100-actividad-quirurgica-turno-manana-tras-paron-sufrido-por-coronavirus;https://opendata.euskadi.eus/contenidos/ds_informes_estudios/covid_19_2020/opendata/situacion-epidemiologica.xlsx",""
"2020-05-30","Araba/Álava","País Vasco","","","2","","","","","","","","","3006","","Irekia;Open Data Euskadi","https://www.irekia.euskadi.eus/es/news/61976-actualizacion-datos-covid-euskadi-mayo;https://opendata.euskadi.eus/contenidos/ds_informes_estudios/covid_19_2020/opendata/situacion-epidemiologica.xlsx",""
"2020-05-31","Araba/Álava","País Vasco","","","0","","","","","","","","","3006","","Irekia;Open Data Euskadi","https://www.irekia.euskadi.eus/es/news/61964-gobierno-vasco-presenta-las-directrices-sanitarias-para-elecciones-parlamento-vasco-del-julio;https://opendata.euskadi.eus/contenidos/ds_informes_estudios/covid_19_2020/opendata/situacion-epidemiologica.xlsx",""
"2020-06-01","Araba/Álava","País Vasco","","","4","","","","","","","","","3010","","Irekia;Open Data Euskadi","https://www.irekia.euskadi.eus/es/news/61993-gobierno-vasco-pide-que-toda-euskadi-avance-fase-acuerdo-plan-bizi-berri-liderado-por-lehendakari;https://opendata.euskadi.eus/contenidos/ds_informes_estudios/covid_19_2020/opendata/situacion-epidemiologica.xlsx",""
"2020-06-02","Araba/Álava","País Vasco","","","3","","","","","","","","","3013","","Irekia;Open Data Euskadi","https://www.irekia.euskadi.eus/es/news/62008-actualizacion-los-datos-covid-euskadi;https://opendata.euskadi.eus/contenidos/ds_informes_estudios/covid_19_2020/opendata/situacion-epidemiologica.xlsx",""
"2020-06-03","Araba/Álava","País Vasco","","","3","","","","","","","","","3016","","Irekia;Open Data Euskadi","https://www.irekia.euskadi.eus/es/news/62028-actualizacion-datos-covid-euskadi;https://opendata.euskadi.eus/contenidos/ds_informes_estudios/covid_19_2020/opendata/situacion-epidemiologica.xlsx",""
"2020-06-04","Araba/Álava","País Vasco","","","2","","","","","","","","","3018","","Irekia;Open Data Euskadi","https://www.irekia.euskadi.eus/es/news/62048-actualizacion-datos-covid-euskadi;https://opendata.euskadi.eus/contenidos/ds_informes_estudios/covid_19_2020/opendata/situacion-epidemiologica.xlsx",""
"2020-06-05","Araba/Álava","País Vasco","","","1","","","","","","","","","3019","","Irekia;Open Data Euskadi","https://www.irekia.euskadi.eus/es/news/62049-euskadi-pasara-lunes-fase-apostando-por-medidas-que-faciliten-conciliacion-familiar;https://opendata.euskadi.eus/contenidos/ds_informes_estudios/covid_19_2020/opendata/situacion-epidemiologica.xlsx",""
"2020-06-06","Araba/Álava","País Vasco","","","4","","","","","","","","","3023","","Irekia;Open Data Euskadi","https://www.irekia.euskadi.eus/es/news/62065-actualizacion-datos-covid-euskadi-junio;https://opendata.euskadi.eus/contenidos/ds_informes_estudios/covid_19_2020/opendata/situacion-epidemiologica.xlsx",""
"2020-06-07","Araba/Álava","País Vasco","","","1","","","","","","","","","3296","","Irekia;Open Data Euskadi","https://www.irekia.euskadi.eus/es/news/62069-hua-txagorritxu-detecta-nuevo-positivo-rastreo-contactos-realizado-tras-identificar-covid-dos-pacientes-profesional-sanitario;https://opendata.euskadi.eus/contenidos/ds_informes_estudios/covid_19_2020/opendata/situacion-epidemiologica.xlsx","hay una subida en el total acumulado de PCR+ no explicada"
"2020-06-08","Araba/Álava","País Vasco","","","5","","","","","","","","","3301","","Irekia;Open Data Euskadi","https://www.irekia.euskadi.eus/es/news/62097-actualizacion-datos-covid-euskadi;https://opendata.euskadi.eus/contenidos/ds_informes_estudios/covid_19_2020/opendata/situacion-epidemiologica.xlsx",""
"2020-06-09","Araba/Álava","País Vasco","","","3","","","","","","","","","3304","","Irekia;Open Data Euskadi","https://www.irekia.euskadi.eus/es/news/62113-departamento-salud-osakidetza-realizan-seguimiento-los-focos-detectados;https://opendata.euskadi.eus/contenidos/ds_informes_estudios/covid_19_2020/opendata/situacion-epidemiologica.xlsx",""
"2020-06-10","Araba/Álava","País Vasco","","","1","","","","","","","","","3305","","Irekia;Open Data Euskadi","https://www.irekia.euskadi.eus/es/news/62125-cribado-posibles-casos-confirma-covid19-pacientes-diagnosticados-clinicamente-euskadi-durante-pico-pandemia;https://opendata.euskadi.eus/contenidos/ds_informes_estudios/covid_19_2020/opendata/situacion-epidemiologica.xlsx",""
"2020-06-11","Araba/Álava","País Vasco","","","0","","","","","","","","","3305","","Irekia;Open Data Euskadi","https://www.irekia.euskadi.eus/es/news/62150-actualizacion-datos-covid-euskadi;https://opendata.euskadi.eus/contenidos/ds_informes_estudios/covid_19_2020/opendata/situacion-epidemiologica.xlsx",""
