"","Fecha","Isla","Provincia","Hospital","Hispitalizados","UCI - Críticas con respirador","UCI - Críticas sin respirador"
"48","25/03/2020","Fuerteventura","Las Palmas","Hospital General de Fuerteventura",1,0,0
"49","25/03/2020","Gran Canaria","Las Palmas","Complejo Hospitalario Universitario de Gran Canaria Dr. Negrín",38,13,0
"50","25/03/2020","Gran Canaria","Las Palmas","Complejo Hospitalario Universitario Insular - Materno Infantil",38,13,0
"51","25/03/2020","Gran Canaria","Las Palmas","Hospital Clínica Roca (Roca Gestión Hospitalaria)",1,0,0
"52","25/03/2020","Gran Canaria","Las Palmas","Hospital Nuestra Señora del Perpetuo Socorro",0,0,0
"53","25/03/2020","Gran Canaria","Las Palmas","Hospital Policlínico La Paloma, S.A.",0,0,0
"54","25/03/2020","Gran Canaria","Las Palmas","Hospital San Roque Las Palmas de Gran Canaria",0,0,0
"55","25/03/2020","Gran Canaria","Las Palmas","Hospital San Roque Maspalomas",0,0,0
"56","25/03/2020","Gran Canaria","Las Palmas","Vithas Hospital Santa Catalina",1,0,0
"57","25/03/2020","La Gomera","Santa Cruz de Tenerife","Hospital Nuestra Señora de Guadalupe",0,0,0
"58","25/03/2020","La Palma","Santa Cruz de Tenerife","Hospital General de La Palma",9,4,0
"59","25/03/2020","Lanzarote","Las Palmas","Hospital Dr. José Molina Orosa",12,4,0
"60","25/03/2020","Lanzarote","Las Palmas","Hospiten Lanzarote (Clínicas del Sur S.U.L.)",0,0,0
"61","25/03/2020","Tenerife","Santa Cruz de Tenerife","Clínica Parque, S.A.",2,0,0
"62","25/03/2020","Tenerife","Santa Cruz de Tenerife","Complejo Hospitalario Universitario de Canarias",75,12,0
"63","25/03/2020","Tenerife","Santa Cruz de Tenerife","Complejo Hospitalario Universitario Nuestra Señora de Candelaria",107,25,0
"64","25/03/2020","Tenerife","Santa Cruz de Tenerife","Hospital Quirón Costa Adeje",0,0,0
"65","25/03/2020","Tenerife","Santa Cruz de Tenerife","Hospital Quirón Tenerife",0,0,0
"66","25/03/2020","Tenerife","Santa Cruz de Tenerife","Hospital San Juan de Dios",1,0,0
"67","25/03/2020","Tenerife","Santa Cruz de Tenerife","Hospiten Bellevue",1,0,0
"68","25/03/2020","Tenerife","Santa Cruz de Tenerife","Hospiten Sur",0,1,0
"69","25/03/2020","Tenerife","Santa Cruz de Tenerife","RAMBLA",0,0,0
"70","26/03/2020","El Hierro","Santa Cruz de Tenerife","Hospital Insular Nuestra Señora de los Reyes",3,0,0
"71","26/03/2020","Fuerteventura","Las Palmas","Hospital General de Fuerteventura",2,0,0
"72","26/03/2020","Gran Canaria","Las Palmas","Complejo Hospitalario Universitario de Gran Canaria Dr. Negrín",39,15,0
"73","26/03/2020","Gran Canaria","Las Palmas","Complejo Hospitalario Universitario Insular - Materno Infantil",41,13,0
"74","26/03/2020","Gran Canaria","Las Palmas","Hospital Clínica Roca (Roca Gestión Hospitalaria)",1,0,0
"75","26/03/2020","Gran Canaria","Las Palmas","Hospital Nuestra Señora del Perpetuo Socorro",0,0,0
"76","26/03/2020","Gran Canaria","Las Palmas","Hospital Policlínico La Paloma, S.A.",0,0,0
"77","26/03/2020","Gran Canaria","Las Palmas","Hospital San Roque Las Palmas de Gran Canaria",0,0,0
"78","26/03/2020","Gran Canaria","Las Palmas","Hospital San Roque Maspalomas",0,0,0
"79","26/03/2020","Gran Canaria","Las Palmas","Vithas Hospital Santa Catalina",1,0,0
"80","26/03/2020","La Gomera","Santa Cruz de Tenerife","Hospital Nuestra Señora de Guadalupe",0,0,0
"81","26/03/2020","La Palma","Santa Cruz de Tenerife","Hospital General de La Palma",9,4,0
"82","26/03/2020","Lanzarote","Las Palmas","Hospital Dr. José Molina Orosa",13,4,0
"83","26/03/2020","Lanzarote","Las Palmas","Hospiten Lanzarote (Clínicas del Sur S.U.L.)",0,0,0
"84","26/03/2020","Tenerife","Santa Cruz de Tenerife","Clínica Parque, S.A.",2,0,0
"85","26/03/2020","Tenerife","Santa Cruz de Tenerife","Complejo Hospitalario Universitario de Canarias",81,15,0
"86","26/03/2020","Tenerife","Santa Cruz de Tenerife","Complejo Hospitalario Universitario Nuestra Señora de Candelaria",116,26,0
"87","26/03/2020","Tenerife","Santa Cruz de Tenerife","Hospital Quirón Costa Adeje",0,0,0
"88","26/03/2020","Tenerife","Santa Cruz de Tenerife","Hospital Quirón Tenerife",0,0,0
"89","26/03/2020","Tenerife","Santa Cruz de Tenerife","Hospital San Juan de Dios",3,0,0
"90","26/03/2020","Tenerife","Santa Cruz de Tenerife","Hospiten Bellevue",3,0,0
"91","26/03/2020","Tenerife","Santa Cruz de Tenerife","Hospiten Sur",1,0,0
"92","26/03/2020","Tenerife","Santa Cruz de Tenerife","RAMBLA",0,0,0
"93","27/03/2020","El Hierro","Santa Cruz de Tenerife","Hospital Insular Nuestra Señora de los Reyes",2,0,0
"94","27/03/2020","Fuerteventura","Las Palmas","Hospital General de Fuerteventura",2,1,0
"95","27/03/2020","Gran Canaria","Las Palmas","Complejo Hospitalario Universitario de Gran Canaria Dr. Negrín",42,16,10
"96","27/03/2020","Gran Canaria","Las Palmas","Complejo Hospitalario Universitario Insular - Materno Infantil",36,15,0
"97","27/03/2020","Gran Canaria","Las Palmas","Hospital Clínica Roca (Roca Gestión Hospitalaria)",1,0,0
"98","27/03/2020","Gran Canaria","Las Palmas","Hospital Nuestra Señora del Perpetuo Socorro",0,0,0
"99","27/03/2020","Gran Canaria","Las Palmas","Hospital Policlínico La Paloma, S.A.",0,0,0
"100","27/03/2020","Gran Canaria","Las Palmas","Hospital San Roque Las Palmas de Gran Canaria",0,0,0
"101","27/03/2020","Gran Canaria","Las Palmas","Hospital San Roque Maspalomas",0,0,0
"102","27/03/2020","Gran Canaria","Las Palmas","Vithas Hospital Santa Catalina",1,0,0
"103","27/03/2020","La Gomera","Santa Cruz de Tenerife","Hospital Nuestra Señora de Guadalupe",0,0,0
"104","27/03/2020","La Palma","Santa Cruz de Tenerife","Hospital General de La Palma",5,5,0
"105","27/03/2020","Lanzarote","Las Palmas","Hospital Dr. José Molina Orosa",20,4,6
"106","27/03/2020","Lanzarote","Las Palmas","Hospiten Lanzarote (Clínicas del Sur S.U.L.)",0,0,0
"107","27/03/2020","Tenerife","Santa Cruz de Tenerife","Clínica Parque, S.A.",2,0,0
"108","27/03/2020","Tenerife","Santa Cruz de Tenerife","Complejo Hospitalario Universitario de Canarias",84,15,0
"109","27/03/2020","Tenerife","Santa Cruz de Tenerife","Complejo Hospitalario Universitario Nuestra Señora de Candelaria",118,26,0
"110","27/03/2020","Tenerife","Santa Cruz de Tenerife","Hospital Quirón Costa Adeje",0,0,0
"111","27/03/2020","Tenerife","Santa Cruz de Tenerife","Hospital Quirón Tenerife",0,0,0
"112","27/03/2020","Tenerife","Santa Cruz de Tenerife","Hospital San Juan de Dios",25,0,0
"113","27/03/2020","Tenerife","Santa Cruz de Tenerife","Hospiten Bellevue",3,0,0
"114","27/03/2020","Tenerife","Santa Cruz de Tenerife","Hospiten Sur",1,0,0
"115","27/03/2020","Tenerife","Santa Cruz de Tenerife","RAMBLA",0,0,0
"116","28/03/2020","El Hierro","Santa Cruz de Tenerife","Hospital Insular Nuestra Señora de los Reyes",2,0,0
"117","28/03/2020","Fuerteventura","Las Palmas","Hospital General de Fuerteventura",2,1,0
"118","28/03/2020","Gran Canaria","Las Palmas","Complejo Hospitalario Universitario de Gran Canaria Dr. Negrín",49,17,0
"119","28/03/2020","Gran Canaria","Las Palmas","Complejo Hospitalario Universitario Insular - Materno Infantil",36,16,0
"120","28/03/2020","Gran Canaria","Las Palmas","Hospital Clínica Roca (Roca Gestión Hospitalaria)",4,1,0
"121","28/03/2020","Gran Canaria","Las Palmas","Hospital Nuestra Señora del Perpetuo Socorro",0,0,0
"122","28/03/2020","Gran Canaria","Las Palmas","Hospital Policlínico La Paloma, S.A.",0,0,0
"123","28/03/2020","Gran Canaria","Las Palmas","Hospital San Roque Las Palmas de Gran Canaria",0,0,0
"124","28/03/2020","Gran Canaria","Las Palmas","Hospital San Roque Maspalomas",0,0,0
"125","28/03/2020","Gran Canaria","Las Palmas","Vithas Hospital Santa Catalina",0,0,0
"126","28/03/2020","La Gomera","Santa Cruz de Tenerife","Hospital Nuestra Señora de Guadalupe",0,0,0
"127","28/03/2020","La Palma","Santa Cruz de Tenerife","Hospital General de La Palma",9,4,0
"128","28/03/2020","Lanzarote","Las Palmas","Hospital Dr. José Molina Orosa",21,4,0
"129","28/03/2020","Lanzarote","Las Palmas","Hospiten Lanzarote (Clínicas del Sur S.U.L.)",0,0,0
"130","28/03/2020","Tenerife","Santa Cruz de Tenerife","Clínica Parque, S.A.",2,0,0
"131","28/03/2020","Tenerife","Santa Cruz de Tenerife","Complejo Hospitalario Universitario de Canarias",89,15,0
"132","28/03/2020","Tenerife","Santa Cruz de Tenerife","Complejo Hospitalario Universitario Nuestra Señora de Candelaria",120,31,0
"133","28/03/2020","Tenerife","Santa Cruz de Tenerife","Hospital Quirón Costa Adeje",0,0,0
"134","28/03/2020","Tenerife","Santa Cruz de Tenerife","Hospital Quirón Tenerife",0,0,0
"135","28/03/2020","Tenerife","Santa Cruz de Tenerife","Hospital San Juan de Dios",26,0,0
"136","28/03/2020","Tenerife","Santa Cruz de Tenerife","Hospiten Bellevue",2,0,0
"137","28/03/2020","Tenerife","Santa Cruz de Tenerife","Hospiten Sur",1,0,1
"138","28/03/2020","Tenerife","Santa Cruz de Tenerife","RAMBLA",0,0,0
"139","29/03/2020","El Hierro","Santa Cruz de Tenerife","Hospital Insular Nuestra Señora de los Reyes",3,0,0
"140","29/03/2020","Fuerteventura","Las Palmas","Hospital General de Fuerteventura",0,2,0
"141","29/03/2020","Gran Canaria","Las Palmas","Complejo Hospitalario Universitario de Gran Canaria Dr. Negrín",52,15,0
"142","29/03/2020","Gran Canaria","Las Palmas","Complejo Hospitalario Universitario Insular - Materno Infantil",38,17,0
"143","29/03/2020","Gran Canaria","Las Palmas","Hospital Clínica Roca (Roca Gestión Hospitalaria)",3,0,0
"144","29/03/2020","Gran Canaria","Las Palmas","Hospital Nuestra Señora del Perpetuo Socorro",0,0,0
"145","29/03/2020","Gran Canaria","Las Palmas","Hospital Policlínico La Paloma, S.A.",0,0,0
"146","29/03/2020","Gran Canaria","Las Palmas","Hospital San Roque Las Palmas de Gran Canaria",0,0,0
"147","29/03/2020","Gran Canaria","Las Palmas","Hospital San Roque Maspalomas",0,0,0
"148","29/03/2020","Gran Canaria","Las Palmas","Vithas Hospital Santa Catalina",1,0,0
"149","29/03/2020","La Gomera","Santa Cruz de Tenerife","Hospital Nuestra Señora de Guadalupe",2,0,0
"150","29/03/2020","La Palma","Santa Cruz de Tenerife","Hospital General de La Palma",9,4,0
"151","29/03/2020","Lanzarote","Las Palmas","Hospital Dr. José Molina Orosa",20,6,0
"152","29/03/2020","Lanzarote","Las Palmas","Hospiten Lanzarote (Clínicas del Sur S.U.L.)",0,0,0
"153","29/03/2020","Tenerife","Santa Cruz de Tenerife","Clínica Parque, S.A.",2,0,0
"154","29/03/2020","Tenerife","Santa Cruz de Tenerife","Complejo Hospitalario Universitario de Canarias",104,17,0
"155","29/03/2020","Tenerife","Santa Cruz de Tenerife","Complejo Hospitalario Universitario Nuestra Señora de Candelaria",128,32,0
"156","29/03/2020","Tenerife","Santa Cruz de Tenerife","Hospital Quirón Costa Adeje",0,0,0
"157","29/03/2020","Tenerife","Santa Cruz de Tenerife","Hospital Quirón Tenerife",0,0,0
"158","29/03/2020","Tenerife","Santa Cruz de Tenerife","Hospital San Juan de Dios",28,0,0
"159","29/03/2020","Tenerife","Santa Cruz de Tenerife","Hospiten Bellevue",4,0,0
"160","29/03/2020","Tenerife","Santa Cruz de Tenerife","Hospiten Sur",1,0,1
"161","29/03/2020","Tenerife","Santa Cruz de Tenerife","RAMBLA",0,0,0
"162","30/03/2020","El Hierro","Santa Cruz de Tenerife","Hospital Insular Nuestra Señora de los Reyes",1,0,0
"163","30/03/2020","Fuerteventura","Las Palmas","Hospital General de Fuerteventura",0,2,0
"164","30/03/2020","Gran Canaria","Las Palmas","Complejo Hospitalario Universitario de Gran Canaria Dr. Negrín",53,18,0
"165","30/03/2020","Gran Canaria","Las Palmas","Complejo Hospitalario Universitario Insular - Materno Infantil",37,15,0
"166","30/03/2020","Gran Canaria","Las Palmas","Hospital Clínica Roca (Roca Gestión Hospitalaria)",1,0,0
"167","30/03/2020","Gran Canaria","Las Palmas","Hospital Nuestra Señora del Perpetuo Socorro",0,0,0
"168","30/03/2020","Gran Canaria","Las Palmas","Hospital Policlínico La Paloma, S.A.",0,0,0
"169","30/03/2020","Gran Canaria","Las Palmas","Hospital San Roque Las Palmas de Gran Canaria",0,0,0
"170","30/03/2020","Gran Canaria","Las Palmas","Hospital San Roque Maspalomas",0,0,0
"171","30/03/2020","Gran Canaria","Las Palmas","Vithas Hospital Santa Catalina",1,0,0
"172","30/03/2020","La Gomera","Santa Cruz de Tenerife","Hospital Nuestra Señora de Guadalupe",1,0,0
"173","30/03/2020","La Palma","Santa Cruz de Tenerife","Hospital General de La Palma",14,5,0
"174","30/03/2020","Lanzarote","Las Palmas","Hospital Dr. José Molina Orosa",19,8,0
"175","30/03/2020","Lanzarote","Las Palmas","Hospiten Lanzarote (Clínicas del Sur S.U.L.)",0,0,0
"176","30/03/2020","Tenerife","Santa Cruz de Tenerife","Clínica Parque, S.A.",1,0,0
"177","30/03/2020","Tenerife","Santa Cruz de Tenerife","Complejo Hospitalario Universitario de Canarias",109,17,0
"178","30/03/2020","Tenerife","Santa Cruz de Tenerife","Complejo Hospitalario Universitario Nuestra Señora de Candelaria",111,33,0
"179","30/03/2020","Tenerife","Santa Cruz de Tenerife","Hospital Quirón Costa Adeje",0,0,0
"180","30/03/2020","Tenerife","Santa Cruz de Tenerife","Hospital Quirón Tenerife",0,0,0
"181","30/03/2020","Tenerife","Santa Cruz de Tenerife","Hospital San Juan de Dios",30,0,0
"182","30/03/2020","Tenerife","Santa Cruz de Tenerife","Hospiten Bellevue",6,0,0
"183","30/03/2020","Tenerife","Santa Cruz de Tenerife","Hospiten Sur",0,1,0
"184","30/03/2020","Tenerife","Santa Cruz de Tenerife","RAMBLA",0,0,0
"185","31/03/2020","El Hierro","Santa Cruz de Tenerife","Hospital Insular Nuestra Señora de los Reyes",1,0,0
"186","31/03/2020","Fuerteventura","Las Palmas","Hospital General de Fuerteventura",2,1,0
"187","31/03/2020","Gran Canaria","Las Palmas","Complejo Hospitalario Universitario de Gran Canaria Dr. Negrín",51,20,0
"188","31/03/2020","Gran Canaria","Las Palmas","Complejo Hospitalario Universitario Insular - Materno Infantil",30,16,0
"189","31/03/2020","Gran Canaria","Las Palmas","Hospital Clínica Roca (Roca Gestión Hospitalaria)",1,0,0
"190","31/03/2020","Gran Canaria","Las Palmas","Hospital Nuestra Señora del Perpetuo Socorro",0,0,0
"191","31/03/2020","Gran Canaria","Las Palmas","Hospital Policlínico La Paloma, S.A.",0,0,0
"192","31/03/2020","Gran Canaria","Las Palmas","Hospital San Roque Las Palmas de Gran Canaria",0,0,0
"193","31/03/2020","Gran Canaria","Las Palmas","Hospital San Roque Maspalomas",0,0,0
"194","31/03/2020","Gran Canaria","Las Palmas","Vithas Hospital Santa Catalina",1,0,0
"195","31/03/2020","La Gomera","Santa Cruz de Tenerife","Hospital Nuestra Señora de Guadalupe",1,0,0
"196","31/03/2020","La Palma","Santa Cruz de Tenerife","Hospital General de La Palma",9,5,0
"197","31/03/2020","Lanzarote","Las Palmas","Hospital Dr. José Molina Orosa",16,8,0
"198","31/03/2020","Lanzarote","Las Palmas","Hospiten Lanzarote (Clínicas del Sur S.U.L.)",0,0,0
"199","31/03/2020","Tenerife","Santa Cruz de Tenerife","Clínica Parque, S.A.",2,0,0
"200","31/03/2020","Tenerife","Santa Cruz de Tenerife","Complejo Hospitalario Universitario de Canarias",82,17,0
"201","31/03/2020","Tenerife","Santa Cruz de Tenerife","Complejo Hospitalario Universitario Nuestra Señora de Candelaria",105,37,0
"202","31/03/2020","Tenerife","Santa Cruz de Tenerife","Hospital Quirón Costa Adeje",0,0,0
"203","31/03/2020","Tenerife","Santa Cruz de Tenerife","Hospital Quirón Tenerife",0,0,0
"204","31/03/2020","Tenerife","Santa Cruz de Tenerife","Hospital San Juan de Dios",30,0,0
"205","31/03/2020","Tenerife","Santa Cruz de Tenerife","Hospiten Bellevue",6,0,0
"206","31/03/2020","Tenerife","Santa Cruz de Tenerife","Hospiten Sur",0,1,0
"207","31/03/2020","Tenerife","Santa Cruz de Tenerife","RAMBLA",0,0,0
"208","01/04/2020","El Hierro","Santa Cruz de Tenerife","Hospital Insular Nuestra Señora de los Reyes",1,0,0
"209","01/04/2020","Fuerteventura","Las Palmas","Hospital General de Fuerteventura",2,2,0
"210","01/04/2020","Gran Canaria","Las Palmas","Complejo Hospitalario Universitario de Gran Canaria Dr. Negrín",45,21,0
"211","01/04/2020","Gran Canaria","Las Palmas","Complejo Hospitalario Universitario Insular - Materno Infantil",26,16,0
"212","01/04/2020","Gran Canaria","Las Palmas","Hospital Clínica Roca (Roca Gestión Hospitalaria)",1,0,0
"213","01/04/2020","Gran Canaria","Las Palmas","Hospital Nuestra Señora del Perpetuo Socorro",0,0,0
"214","01/04/2020","Gran Canaria","Las Palmas","Hospital Policlínico La Paloma, S.A.",0,0,0
"215","01/04/2020","Gran Canaria","Las Palmas","Hospital San Roque Las Palmas de Gran Canaria",0,0,0
"216","01/04/2020","Gran Canaria","Las Palmas","Hospital San Roque Maspalomas",0,0,0
"217","01/04/2020","Gran Canaria","Las Palmas","Vithas Hospital Santa Catalina",0,0,0
"218","01/04/2020","La Gomera","Santa Cruz de Tenerife","Hospital Nuestra Señora de Guadalupe",2,0,0
"219","01/04/2020","La Palma","Santa Cruz de Tenerife","Hospital General de La Palma",9,5,0
"220","01/04/2020","Lanzarote","Las Palmas","Hospital Dr. José Molina Orosa",18,9,0
"221","01/04/2020","Lanzarote","Las Palmas","Hospiten Lanzarote (Clínicas del Sur S.U.L.)",0,0,0
"222","01/04/2020","Tenerife","Santa Cruz de Tenerife","Clínica Parque, S.A.",2,0,0
"223","01/04/2020","Tenerife","Santa Cruz de Tenerife","Complejo Hospitalario Universitario de Canarias",88,16,0
"224","01/04/2020","Tenerife","Santa Cruz de Tenerife","Complejo Hospitalario Universitario Nuestra Señora de Candelaria",110,38,0
"225","01/04/2020","Tenerife","Santa Cruz de Tenerife","Hospital Quirón Costa Adeje",0,0,0
"226","01/04/2020","Tenerife","Santa Cruz de Tenerife","Hospital Quirón Tenerife",0,0,0
"227","01/04/2020","Tenerife","Santa Cruz de Tenerife","Hospital San Juan de Dios",30,0,0
"228","01/04/2020","Tenerife","Santa Cruz de Tenerife","Hospiten Bellevue",7,0,0
"229","01/04/2020","Tenerife","Santa Cruz de Tenerife","Hospiten Sur",0,0,0
"230","01/04/2020","Tenerife","Santa Cruz de Tenerife","RAMBLA",0,0,0
"231","02/04/2020","El Hierro","Santa Cruz de Tenerife","Hospital Insular Nuestra Señora de los Reyes",1,0,0
"232","02/04/2020","Fuerteventura","Las Palmas","Hospital General de Fuerteventura",2,2,0
"233","02/04/2020","Gran Canaria","Las Palmas","Complejo Hospitalario Universitario de Gran Canaria Dr. Negrín",38,22,0
"234","02/04/2020","Gran Canaria","Las Palmas","Complejo Hospitalario Universitario Insular - Materno Infantil",27,16,0
"235","02/04/2020","Gran Canaria","Las Palmas","Hospital Clínica Roca (Roca Gestión Hospitalaria)",1,0,0
"236","02/04/2020","Gran Canaria","Las Palmas","Hospital Nuestra Señora del Perpetuo Socorro",0,0,0
"237","02/04/2020","Gran Canaria","Las Palmas","Hospital Policlínico La Paloma, S.A.",0,0,0
"238","02/04/2020","Gran Canaria","Las Palmas","Hospital San Roque Las Palmas de Gran Canaria",0,0,0
"239","02/04/2020","Gran Canaria","Las Palmas","Hospital San Roque Maspalomas",0,0,0
"240","02/04/2020","Gran Canaria","Las Palmas","Vithas Hospital Santa Catalina",0,0,0
"241","02/04/2020","La Gomera","Santa Cruz de Tenerife","Hospital Nuestra Señora de Guadalupe",3,0,0
"242","02/04/2020","La Palma","Santa Cruz de Tenerife","Hospital General de La Palma",10,4,0
"243","02/04/2020","Lanzarote","Las Palmas","Hospital Dr. José Molina Orosa",11,9,0
"244","02/04/2020","Lanzarote","Las Palmas","Hospiten Lanzarote (Clínicas del Sur S.U.L.)",0,0,0
"245","02/04/2020","Tenerife","Santa Cruz de Tenerife","Clínica Parque, S.A.",2,0,0
"246","02/04/2020","Tenerife","Santa Cruz de Tenerife","Complejo Hospitalario Universitario de Canarias",88,18,0
"247","02/04/2020","Tenerife","Santa Cruz de Tenerife","Complejo Hospitalario Universitario Nuestra Señora de Candelaria",114,33,0
"248","02/04/2020","Tenerife","Santa Cruz de Tenerife","Hospital Quirón Costa Adeje",0,0,0
"249","02/04/2020","Tenerife","Santa Cruz de Tenerife","Hospital Quirón Tenerife",0,0,0
"250","02/04/2020","Tenerife","Santa Cruz de Tenerife","Hospital San Juan de Dios",31,0,0
"251","02/04/2020","Tenerife","Santa Cruz de Tenerife","Hospiten Bellevue",4,1,0
"252","02/04/2020","Tenerife","Santa Cruz de Tenerife","Hospiten Sur",0,0,0
"253","02/04/2020","Tenerife","Santa Cruz de Tenerife","RAMBLA",0,0,0
"254","03/04/2020","El Hierro","Santa Cruz de Tenerife","Hospital Insular Nuestra Señora de los Reyes",2,0,0
"255","03/04/2020","Fuerteventura","Las Palmas","Hospital General de Fuerteventura",5,2,0
"256","03/04/2020","Gran Canaria","Las Palmas","Complejo Hospitalario Universitario de Gran Canaria Dr. Negrín",33,23,0
"257","03/04/2020","Gran Canaria","Las Palmas","Complejo Hospitalario Universitario Insular - Materno Infantil",25,16,0
"258","03/04/2020","Gran Canaria","Las Palmas","Hospital Clínica Roca (Roca Gestión Hospitalaria)",1,0,0
"259","03/04/2020","Gran Canaria","Las Palmas","Hospital Nuestra Señora del Perpetuo Socorro",0,0,0
"260","03/04/2020","Gran Canaria","Las Palmas","Hospital Policlínico La Paloma, S.A.",0,0,0
"261","03/04/2020","Gran Canaria","Las Palmas","Hospital San Roque Las Palmas de Gran Canaria",0,0,0
"262","03/04/2020","Gran Canaria","Las Palmas","Hospital San Roque Maspalomas",0,0,0
"263","03/04/2020","Gran Canaria","Las Palmas","Vithas Hospital Santa Catalina",0,0,0
"264","03/04/2020","La Gomera","Santa Cruz de Tenerife","Hospital Nuestra Señora de Guadalupe",1,0,0
"265","03/04/2020","La Palma","Santa Cruz de Tenerife","Hospital General de La Palma",4,5,0
"266","03/04/2020","Lanzarote","Las Palmas","Hospital Dr. José Molina Orosa",11,9,0
