"date","region","hospitalized","intensive_care","deceassed","cases_registered","recovered"
2020-03-21,"Asturias",133,12,5,486,16
2020-03-21,"Baleares",60,14,4,246,11
2020-03-21,"Cantabria",92,9,2,215,11
2020-03-21,"Ceuta",0,0,0,5,0
2020-03-21,"La Rioja",128,17,15,564,18
2020-03-21,"Madrid",7388,767,804,8921,1542
2020-03-21,"Melilla",8,1,0,25,0
2020-03-21,"Murcia",61,14,1,240,1
2020-03-21,"Navarra",222,25,9,664,1
2020-03-22,"Asturias",171,15,8,545,20
2020-03-22,"Baleares",79,14,4,331,17
2020-03-22,"Cantabria",116,9,5,282,11
2020-03-22,"Ceuta",0,0,0,5,0
2020-03-22,"La Rioja",134,17,18,654,18
2020-03-22,"Madrid",8441,834,1021,9702,1899
2020-03-22,"Melilla",12,1,0,25,0
2020-03-22,"Murcia",78,16,1,296,1
2020-03-22,"Navarra",288,30,14,794,4
2020-03-23,"Asturias",194,22,12,594,21
2020-03-23,"Baleares",87,27,10,400,18
2020-03-23,"Cantabria",157,14,6,347,11
2020-03-23,"Ceuta",0,0,0,6,0
2020-03-23,"La Rioja",166,22,22,747,18
2020-03-23,"Madrid",9561,942,1263,10575,2063
2020-03-23,"Melilla",12,1,0,28,0
2020-03-23,"Murcia",80,23,2,345,1
2020-03-23,"Navarra",339,40,24,886,7
2020-03-24,"Asturias",224,23,22,662,30
2020-03-24,"Baleares",127,35,10,478,19
2020-03-24,"Cantabria",200,16,9,425,12
2020-03-24,"Ceuta",0,0,0,6,0
2020-03-24,"La Rioja",206,24,30,802,24
2020-03-24,"Madrid",10443,1050,1535,12352,2291
2020-03-24,"Melilla",12,1,0,28,0
2020-03-24,"Murcia",99,26,3,385,1
2020-03-24,"Navarra",405,45,31,1014,11
2020-03-25,"Asturias",263,29,25,779,35
2020-03-25,"Baleares",164,40,13,562,28
2020-03-25,"Cantabria",241,18,14,510,12
2020-03-25,"Ceuta",2,1,0,9,0
2020-03-25,"La Rioja",254,33,37,928,43
2020-03-25,"Madrid",11153,1150,1825,14597,3031
2020-03-25,"Melilla",14,2,0,38,0
2020-03-25,"Murcia",127,33,5,477,4
2020-03-25,"Navarra",506,51,33,1197,23
2020-03-26,"Asturias",300,34,27,841,40
2020-03-26,"Baleares",205,43,17,660,39
2020-03-26,"Cantabria",300,26,17,671,14
2020-03-26,"Ceuta",2,2,0,10,0
2020-03-26,"La Rioja",316,36,43,995,48
2020-03-26,"Madrid",12440,1221,2090,17166,3882
2020-03-26,"Melilla",16,2,1,39,0
2020-03-26,"Murcia",172,36,8,596,9
2020-03-26,"Navarra",649,54,49,1411,35
2020-03-27,"Asturias",339,47,29,900,52
2020-03-27,"Baleares",237,46,22,755,67
2020-03-27,"Cantabria",355,29,21,810,19
2020-03-27,"Ceuta",2,2,0,17,0
2020-03-27,"La Rioja",388,43,55,1236,62
2020-03-27,"Madrid",13580,1312,2412,19243,5044
2020-03-27,"Melilla",18,2,1,42,0
2020-03-27,"Murcia",209,53,15,714,12
2020-03-27,"Navarra",732,75,58,1641,70
2020-03-28,"Asturias",408,50,33,1004,65
2020-03-28,"Baleares",283,59,26,862,80
2020-03-28,"Cantabria",406,37,22,937,21
2020-03-28,"Ceuta",2,2,1,17,0
2020-03-28,"La Rioja",458,43,65,1436,364
2020-03-28,"Madrid",14211,1404,2757,21520,6326
2020-03-28,"Melilla",22,2,1,45,0
2020-03-28,"Murcia",231,58,17,802,12
2020-03-28,"Navarra",827,84,70,1829,98
2020-03-29,"Asturias",466,57,41,1088,76
2020-03-29,"Baleares",345,71,29,958,82
2020-03-29,"Cantabria",449,40,26,1023,25
2020-03-29,"Ceuta",2,2,1,21,0
2020-03-29,"La Rioja",497,43,68,1629,397
2020-03-29,"Madrid",14454,1429,3082,22677,7491
2020-03-29,"Melilla",24,2,1,48,0
2020-03-29,"Murcia",260,58,20,872,16
2020-03-29,"Navarra",896,90,84,2011,125
2020-03-30,"Asturias",479,60,49,1158,78
2020-03-30,"Baleares",353,80,37,1000,100
2020-03-30,"Cantabria",481,46,27,1100,24
2020-03-30,"Ceuta",2,2,1,25,0
2020-03-30,"La Rioja",517,43,71,1733,431
2020-03-30,"Madrid",14917,1460,3392,24090,8301
2020-03-30,"Melilla",27,3,1,51,0
2020-03-30,"Murcia",265,58,25,939,17
2020-03-30,"Navarra",955,96,102,2146,161
2020-03-31,"Asturias",529,65,55,1236,90
2020-03-31,"Baleares",399,85,42,1069,111
2020-03-31,"Cantabria",522,50,37,1171,35
2020-03-31,"Ceuta",3,3,1,34,0
2020-03-31,"La Rioja",575,51,85,1810,496
2020-03-31,"Madrid",15140,1514,3603,27509,9330
2020-03-31,"Melilla",27,3,1,54,0
2020-03-31,"Murcia",283,59,34,974,20
2020-03-31,"Navarra",1035,99,113,2305,192
2020-04-01,"Asturias",590,76,63,1322,109
2020-04-01,"Baleares",468,95,46,1131,170
2020-04-01,"Cantabria",543,54,54,1213,43
2020-04-01,"Ceuta",6,3,1,51,0
2020-04-01,"La Rioja",619,54,90,1960,569
2020-04-01,"Madrid",15227,1514,3865,29840,10827
2020-04-01,"Melilla",32,3,1,62,0
2020-04-01,"Murcia",304,59,37,1041,43
2020-04-01,"Navarra",1120,104,130,2497,236
2020-04-02,"Asturias",640,79,69,1384,135
2020-04-02,"Baleares",517,105,58,1204,239
2020-04-02,"Cantabria",567,57,60,1268,60
2020-04-02,"Ceuta",7,3,1,55,0
2020-04-02,"La Rioja",660,57,101,2083,641
2020-04-02,"Madrid",15227,1528,4175,32155,12400
2020-04-02,"Melilla",32,3,1,62,0
2020-04-02,"Murcia",389,68,42,1084,45
2020-04-02,"Navarra",1181,108,141,2682,278
2020-04-03,"Asturias",702,86,70,1433,154
2020-04-03,"Baleares",587,112,69,1257,375
2020-04-03,"Cantabria",592,59,64,1321,74
2020-04-03,"Ceuta",8,3,1,62,2
2020-04-03,"La Rioja",738,64,109,2224,745
2020-04-03,"Madrid",15050,1506,4483,34188,13850
2020-04-03,"Melilla",34,3,2,70,4
2020-04-03,"Murcia",405,72,46,1145,90
2020-04-03,"Navarra",1284,119,151,2836,294
2020-04-04,"Asturias",766,87,76,1522,190
2020-04-04,"Baleares",634,114,71,1271,422
2020-04-04,"Cantabria",619,60,68,1384,99
2020-04-04,"Ceuta",8,4,1,73,2
2020-04-04,"La Rioja",805,64,128,2405,843
2020-04-04,"Madrid",14741,1498,4723,36249,15362
2020-04-04,"Melilla",37,3,2,79,9
2020-04-04,"Murcia",434,79,51,1188,113
2020-04-04,"Navarra",1341,120,171,2972,311
2020-04-05,"Asturias",808,90,80,1605,216
2020-04-05,"Baleares",664,120,75,1293,461
2020-04-05,"Cantabria",639,62,68,1441,113
2020-04-05,"Ceuta",9,4,2,83,2
2020-04-05,"La Rioja",855,66,134,2592,904
2020-04-05,"Madrid",14551,1499,4941,37584,16543
2020-04-05,"Melilla",38,3,2,83,11
2020-04-05,"Murcia",447,80,59,1235,130
2020-04-05,"Navarra",1399,123,178,3073,334
2020-04-06,"Asturias",846,90,86,1646,222
2020-04-06,"Baleares",683,121,81,1320,531
2020-04-06,"Cantabria",658,65,77,1483,118
2020-04-06,"Ceuta",9,4,3,83,2
2020-04-06,"La Rioja",888,66,141,2719,964
2020-04-06,"Madrid",14501,1510,5136,38723,17322
2020-04-06,"Melilla",38,3,2,86,11
2020-04-06,"Murcia",468,81,68,1259,156
2020-04-06,"Navarra",1432,124,187,3231,380
2020-04-07,"Asturias",889,91,96,1679,244
2020-04-07,"Baleares",705,124,84,1369,537
2020-04-07,"Cantabria",677,66,85,1501,129
2020-04-07,"Ceuta",9,4,4,83,2
2020-04-07,"La Rioja",918,66,160,2846,994
2020-04-07,"Madrid",13950,1494,5371,40469,18410
2020-04-07,"Melilla",40,3,2,92,11
2020-04-07,"Murcia",500,84,78,1283,193
2020-04-07,"Navarra",1488,124,202,3355,421
2020-04-08,"Asturias",958,91,102,1705,294
2020-04-08,"Baleares",731,129,89,1412,616
2020-04-08,"Cantabria",700,69,92,1572,175
2020-04-08,"Ceuta",9,4,4,84,7
2020-04-08,"La Rioja",955,68,177,2951,1061
2020-04-08,"Madrid",13289,1450,5586,42450,19836
2020-04-08,"Melilla",40,3,2,93,12
2020-04-08,"Murcia",515,86,85,1326,203
2020-04-08,"Navarra",1526,124,206,3467,450
2020-04-09,"Asturias",1018,94,110,1737,340
2020-04-09,"Baleares",751,132,89,1448,696
2020-04-09,"Cantabria",720,71,98,1619,214
2020-04-09,"Ceuta",9,4,4,84,7
2020-04-09,"La Rioja",997,69,182,3026,1172
2020-04-09,"Madrid",12853,1433,5800,43877,21121
2020-04-09,"Melilla",40,3,2,93,16
2020-04-09,"Murcia",533,87,88,1356,219
2020-04-09,"Navarra",1526,124,214,3575,462
2020-04-10,"Asturias",1083,100,121,1799,372
2020-04-10,"Baleares",777,136,97,1488,737
2020-04-10,"Cantabria",747,73,102,1659,265
2020-04-10,"Ceuta",9,4,4,91,12
2020-04-10,"La Rioja",1047,71,196,3076,1256
2020-04-10,"Madrid",12432,1399,5972,44783,22414
2020-04-10,"Melilla",41,3,2,95,17
2020-04-10,"Murcia",533,88,90,1383,255
2020-04-10,"Navarra",1620,124,218,3748,560
2020-04-11,"Asturias",1147,105,128,1827,414
2020-04-11,"Baleares",778,137,102,1507,757
2020-04-11,"Cantabria",773,75,107,1719,281
2020-04-11,"Ceuta",9,4,4,93,17
2020-04-11,"La Rioja",1082,73,207,3223,1337
2020-04-11,"Madrid",11894,1376,6084,45849,23663
2020-04-11,"Melilla",43,3,2,98,18
2020-04-11,"Murcia",533,88,94,1413,275
2020-04-11,"Navarra",1641,124,227,3817,603
2020-04-12,"Asturias",1208,106,140,1892,430
2020-04-12,"Baleares",805,142,112,1534,848
2020-04-12,"Cantabria",805,75,110,1752,297
2020-04-12,"Ceuta",9,4,4,93,17
2020-04-12,"La Rioja",1122,73,219,3279,1420
2020-04-12,"Madrid",11424,1332,6278,46587,24683
2020-04-12,"Melilla",43,3,2,98,18
2020-04-12,"Murcia",537,91,97,1449,344
2020-04-12,"Navarra",1663,124,232,3969,650
2020-04-13,"Asturias",1265,110,149,1958,434
2020-04-13,"Baleares",811,143,117,1550,862
2020-04-13,"Cantabria",827,75,117,1777,317
2020-04-13,"Ceuta",9,4,4,95,20
2020-04-13,"La Rioja",1141,73,223,3358,1458
2020-04-13,"Madrid",11233,1327,6423,47146,25385
2020-04-13,"Melilla",43,3,2,101,18
2020-04-13,"Murcia",543,94,101,1463,353
2020-04-13,"Navarra",1693,124,239,4092,695
2020-04-14,"Asturias",1330,111,156,2051,458
2020-04-14,"Baleares",826,145,118,1571,871
2020-04-14,"Cantabria",853,76,120,1796,323
2020-04-14,"Ceuta",9,4,4,96,22
2020-04-14,"La Rioja",1152,74,234,3420,1519
2020-04-14,"Madrid",10753,1299,6568,48048,26247
2020-04-14,"Melilla",43,3,2,101,18
2020-04-14,"Murcia",566,96,106,1487,476
2020-04-14,"Navarra",1705,124,249,4150,730
2020-04-15,"Asturias",1387,114,166,2096,487
2020-04-15,"Baleares",857,149,125,1606,881
2020-04-15,"Cantabria",873,76,132,1823,363
2020-04-15,"Ceuta",9,4,4,98,30
2020-04-15,"La Rioja",1182,75,246,3457,1585
2020-04-15,"Madrid",10116,1244,6724,49526,27433
2020-04-15,"Melilla",43,3,2,102,24
2020-04-15,"Murcia",574,97,109,1520,513
2020-04-15,"Navarra",1731,124,252,4246,808
2020-04-16,"Asturias",1432,116,168,2170,522
2020-04-16,"Baleares",872,152,131,1637,918
2020-04-16,"Cantabria",890,77,137,1845,442
2020-04-16,"Ceuta",9,4,4,100,41
2020-04-16,"La Rioja",1207,75,257,3916,1654
2020-04-16,"Madrid",9653,1206,6877,50694,28491
2020-04-16,"Melilla",43,3,2,103,27
2020-04-16,"Murcia",575,97,111,1598,516
2020-04-16,"Navarra",1752,124,261,4348,845
2020-04-17,"Asturias",1474,118,174,2230,545
2020-04-17,"Baleares",905,152,134,1668,938
2020-04-17,"Cantabria",903,78,144,1884,510
2020-04-17,"Ceuta",9,4,4,101,44
2020-04-17,"La Rioja",1226,76,262,4098,1729
2020-04-17,"Madrid",9141,1154,7007,51993,29436
2020-04-17,"Melilla",44,3,2,104,30
2020-04-17,"Murcia",585,99,112,1625,545
2020-04-17,"Navarra",1781,124,338,4433,892
